sentence,image_1,image_2,label_image1,label_image2
Mother and child run on beach.,"[-0.9721277952194214, -0.5679645538330078, 0.28806018829345703, 0.6066731810569763, 0.916048526763916, -0.062340930104255676, 0.2576848864555359, 0.8610915541648865, -0.28731632232666016, 0.07881037145853043, -0.05553111061453819, -0.41744333505630493, 0.02904045395553112, -1.1518558263778687, 0.12665270268917084, -0.36128976941108704, 0.38262373208999634, 0.23018652200698853, 0.7512696385383606, -0.243513286113739]","[-0.9010507464408875, -0.38628530502319336, 0.24411576986312866, 0.34531116485595703, 0.34445369243621826, 0.07401465624570847, 0.049605924636125565, 0.5697833299636841, -0.1239258348941803, -0.11485744267702103, 0.16027697920799255, -0.3291603922843933, 0.0452011376619339, -1.2565982341766357, 0.35652244091033936, -0.14167973399162292, 0.5192705392837524, 0.5558530688285828, 0.35022032260894775, 0.290639728307724]",1,0
Couple jogs along beach.,"[-0.6836969256401062, -0.33498555421829224, 0.504880428314209, 0.555101215839386, 0.4029131531715393, -0.01340143196284771, -0.02534804865717888, 0.6306597590446472, -0.016573963686823845, -0.34319961071014404, 0.36220234632492065, -0.09369586408138275, -0.10623691976070404, -0.9490419030189514, 0.3510030508041382, -0.4590981900691986, 0.13690845668315887, 0.264786034822464, 0.27664679288864136, -0.1830991804599762]","[-1.0507227182388306, -0.20765218138694763, 0.5634798407554626, 0.6170021295547485, 0.5746212601661682, 0.11239556223154068, 0.15047000348567963, 1.0873032808303833, -0.21390105783939362, -0.1365545094013214, 0.17151275277137756, -0.08932510763406754, 0.09899009764194489, -1.2692078351974487, 0.3968765139579773, -0.2102125585079193, 0.39100825786590576, -0.2399648278951645, 0.44339776039123535, -0.12369312345981598]",0,1
Player celebrates a win.,"[-1.06155264377594, 0.1857042908668518, 0.16519251465797424, 0.21984001994132996, 0.02160271443426609, -0.030183328315615654, 0.433368057012558, 0.942742109298706, 0.009303392842411995, -0.14778932929039001, 0.3769027590751648, -0.12511508166790009, -0.1404862403869629, -1.0682666301727295, 0.26908108592033386, -0.4020404517650604, 0.1398666650056839, 0.018287884071469307, 0.3007180392742157, -0.08336149156093597]","[-0.8233623504638672, -0.039345882833004, 0.7290759086608887, 0.7631057500839233, 0.4111405313014984, -0.24544495344161987, 0.354841023683548, 0.6355193257331848, -0.2143547534942627, -0.19886112213134766, -0.044818516820669174, -0.39019662141799927, -0.15168023109436035, -0.9291466474533081, 0.4605940580368042, -0.18738742172718048, 0.4470282793045044, 0.573259711265564, 0.14586485922336578, -0.18286535143852234]",0,1
Man walks on street.,"[-0.9904817938804626, 0.09227845817804337, 0.3203359842300415, 0.25555628538131714, 0.4999573826789856, -0.6361554265022278, 0.3293447494506836, 0.9520751237869263, 0.13707712292671204, -0.15093153715133667, -0.08981697261333466, -0.02555159665644169, 0.08235611766576767, -0.6506540179252625, 0.2283574342727661, -0.3862706124782562, 0.2430524080991745, 0.33523130416870117, 0.6503254175186157, -0.28089359402656555]","[-0.9214028716087341, -0.16132307052612305, 0.340839147567749, 0.32492899894714355, 0.7676889300346375, 0.21323947608470917, 0.41080477833747864, 0.4824521541595459, -0.20491641759872437, -0.19778597354888916, 0.28091925382614136, -0.007566595450043678, 0.09071330726146698, -0.712908148765564, 0.3159099817276001, -0.2028937190771103, 0.8663337826728821, 0.2130265235900879, 0.5882394313812256, -0.15418514609336853]",0,1
People cross street.,"[-0.9749964475631714, -0.3864659368991852, 0.7083000540733337, 0.7694107890129089, 0.7552189826965332, -0.5112853050231934, 0.3312448561191559, 1.1872329711914062, -0.23124225437641144, 0.10834161192178726, 0.1764175295829773, -0.24125070869922638, -0.06084124743938446, -0.6836321353912354, 0.07817234098911285, -0.1521976739168167, 0.21461328864097595, 0.39754518866539, 0.4844352900981903, -0.3622432053089142]","[-1.1725250482559204, 0.032739944756031036, 0.3919000029563904, 0.2836821973323822, 0.5268840193748474, -0.17845940589904785, 0.39013153314590454, 0.847256600856781, -0.32898110151290894, -0.19241636991500854, 0.3876635432243347, -0.41937896609306335, 0.07722155004739761, -1.1991690397262573, 0.43095654249191284, -0.15471668541431427, 0.43206101655960083, 0.19484981894493103, 0.3591645359992981, -0.09251202642917633]",0,1
Person holds hands with girl.,"[-0.8266236186027527, 0.15089401602745056, 0.040058765560388565, 0.24394242465496063, 0.4868735671043396, -0.2755442261695862, 0.03513750806450844, 0.46440771222114563, 0.1580185890197754, -0.2452109456062317, 0.25600922107696533, -0.37167856097221375, 0.07743847370147705, -0.6790511012077332, -0.03200119733810425, -0.35610198974609375, 0.13059455156326294, 0.14758016169071198, 0.23990114033222198, -0.30567827820777893]","[-1.4523506164550781, 0.12313497811555862, 0.1984318047761917, 0.2893456220626831, 0.5306248664855957, -0.38287752866744995, 0.6000726819038391, 0.9451723694801331, -0.07704661786556244, -0.09134488552808762, 0.503650426864624, -0.5950420498847961, -0.14232739806175232, -1.1871386766433716, 0.25540852546691895, -0.1485537737607956, 0.1734158843755722, -0.3125959038734436, 0.41380375623703003, -0.1571209728717804]",0,1
Girls walk down the street.,"[-1.0191668272018433, 0.137641042470932, 0.20184780657291412, 0.5074748992919922, 0.6793275475502014, -0.45187070965766907, 0.462491899728775, 0.6591963171958923, -0.22292563319206238, 0.07924538105726242, -0.10282169282436371, -0.2575978636741638, 0.07525278627872467, -0.8911899328231812, 0.021428780630230904, -0.1989241987466812, 0.2523154616355896, 0.7018704414367676, 0.27042680978775024, -0.27261778712272644]","[-0.5396437644958496, 0.35209137201309204, 0.3256395757198334, 0.5255312919616699, 0.2553641200065613, -0.2491949498653412, 0.47713038325309753, 0.8059141039848328, 0.1740594506263733, -0.0021074488759040833, 0.21629609167575836, -0.7436032891273499, -0.1745564490556717, -1.1468569040298462, 0.33347946405410767, -0.38347044587135315, -0.06521869450807571, 0.43240824341773987, 0.3929930329322815, -0.18360070884227753]",0,1
Woman runs across field.,"[-1.4770927429199219, -0.431141197681427, 0.3955027461051941, 0.5028717517852783, 0.21856477856636047, 0.13827387988567352, 0.46543601155281067, 0.838076651096344, -0.06572970747947693, -0.026179306209087372, 0.5640879273414612, -0.40362679958343506, -0.345034658908844, -0.5692055225372314, 0.38411861658096313, 0.17820577323436737, 0.11212758719921112, 0.35337477922439575, 0.6838041543960571, 0.052640944719314575]","[-1.0849984884262085, 0.039940621703863144, 0.41006791591644287, -0.03992955759167671, 0.2902275621891022, -0.6178503036499023, 0.07524274289608002, 0.7695390582084656, 0.00821593590080738, -0.06592525541782379, 0.6362442970275879, 0.17011083662509918, -0.3325663208961487, -0.8520820736885071, 0.30976054072380066, -0.25407207012176514, 0.5439658164978027, 0.19755294919013977, 0.25823768973350525, -0.0071983058005571365]",0,1
Child goes for walk on street.,"[-0.8001030087471008, -0.1175825372338295, 0.5408620834350586, 0.48883479833602905, 0.6310420036315918, -0.7784653306007385, 0.17746667563915253, 0.8744767904281616, 0.009884806349873543, 0.06897229701280594, -0.09539404511451721, 0.23669059574604034, -0.1327400803565979, -0.5050257444381714, 0.3642912805080414, 0.12435273826122284, 0.41217175126075745, 0.5681514739990234, 0.615429162979126, -0.11382099986076355]","[-0.9238005876541138, -0.15879318118095398, 0.2102467566728592, 0.12934134900569916, 0.5990013480186462, 0.0017375145107507706, 0.2651943266391754, 0.44087764620780945, -0.23892134428024292, -0.045278631150722504, 0.2724941372871399, -0.15859778225421906, 0.10873983055353165, -1.0280468463897705, 0.2668377161026001, -0.16511966288089752, 0.5599537491798401, 0.44854429364204407, 0.4260374903678894, -0.24790862202644348]",0,1
Man walks down street.,"[-0.7461753487586975, 0.06586509197950363, 0.02783810719847679, 0.43081533908843994, 0.3084854781627655, -0.15918971598148346, 0.5175517201423645, 0.6789599657058716, -0.23775559663772583, -0.15135392546653748, 0.23289275169372559, -0.41102534532546997, -0.26618799567222595, -0.9895369410514832, 0.14285095036029816, -0.20317600667476654, 0.48240500688552856, 0.26597896218299866, 0.48215746879577637, -0.5207812190055847]","[-0.9214028716087341, -0.16132307052612305, 0.340839147567749, 0.32492899894714355, 0.7676889300346375, 0.21323947608470917, 0.41080477833747864, 0.4824521541595459, -0.20491641759872437, -0.19778597354888916, 0.28091925382614136, -0.007566595450043678, 0.09071330726146698, -0.712908148765564, 0.3159099817276001, -0.2028937190771103, 0.8663337826728821, 0.2130265235900879, 0.5882394313812256, -0.15418514609336853]",0,1
Dog sits on the floor.,"[-1.1779030561447144, -0.008466333150863647, 0.4050905108451843, 0.5162394046783447, 0.39339762926101685, -0.4446958303451538, 0.207388237118721, 0.6406011581420898, 0.07131026685237885, -0.21415871381759644, 0.23583169281482697, -0.4701896011829376, -0.2766171097755432, -0.9477948546409607, 0.19614899158477783, -0.06925004720687866, 0.7241668105125427, 0.056647613644599915, 0.17262069880962372, -0.14998209476470947]","[-0.7983232736587524, -0.013846777379512787, 0.45193421840667725, 0.8840146660804749, 0.7776870727539062, -0.3284797966480255, 0.5718995332717896, 0.6130803823471069, -0.12814156711101532, 0.13065743446350098, 0.06936746835708618, -0.11498945206403732, -0.39509642124176025, -0.8926294445991516, 0.30653584003448486, -0.25024908781051636, 0.3765644431114197, 0.1337885707616806, 0.38880443572998047, -0.30341964960098267]",0,1
