sentence,image_1,image_2,label_image1,label_image2
Players play golf.,"[0.018795808777213097, -0.39701974391937256, 0.023768248036503792, -0.07340869307518005, -0.263714462518692, -0.3874307870864868, 0.01442183367908001, -0.6499593257904053, -0.019337894394993782, -0.20709440112113953, 0.2846158444881439, -0.043664027005434036, 0.2608799934387207, -0.22756780683994293, 0.6259352564811707, 0.13779495656490326, 0.916732668876648, -0.1660832017660141, -0.020065702497959137, 1.0087134838104248, 0.560693085193634, 0.40764546394348145, -0.41969484090805054, 0.07051729410886765, -0.2810305655002594, -0.2864777743816376, -0.31691545248031616, -0.31080499291419983, 0.2814182937145233, 0.13452847301959991, 0.4653607904911041, 0.4212712347507477, 0.1497955322265625, -0.04762668162584305, -0.1672980785369873, -0.03530580550432205, -0.5287824273109436, 0.09417815506458282, 0.06475681066513062, 0.055910252034664154]","[0.10013925284147263, 0.21627971529960632, 0.5073210000991821, -0.49176478385925293, -0.2691771388053894, -0.1233057901263237, 0.0167881790548563, -0.3277246356010437, -0.14322730898857117, -0.04782996326684952, 0.39765670895576477, 0.12259890139102936, -0.054556746035814285, -0.20544910430908203, 0.8435739874839783, 0.028660262003540993, 0.7659450173377991, -0.2615504264831543, 0.0014045163989067078, 0.6624660491943359, 0.5746398568153381, 0.25443100929260254, -0.004427207633852959, -0.23465803265571594, -0.44122686982154846, -0.45684921741485596, -0.12275391817092896, -0.23558278381824493, -0.11036829650402069, -0.2546076774597168, 0.4040209949016571, 0.5035383701324463, -0.23969215154647827, -0.33255013823509216, -0.25064125657081604, 0.12588630616664886, -0.6083261966705322, -0.09147472679615021, 0.4163709580898285, 0.09902022033929825]",0,1
Dog lays on grass.,"[-0.12984375655651093, -0.32009315490722656, 0.2665160596370697, -0.25816118717193604, 0.14616242051124573, -0.4910453259944916, -0.0750712901353836, -0.4662332236766815, -0.24848507344722748, -0.34015950560569763, 0.6685335636138916, 0.15134647488594055, 0.05341217294335365, -0.44420304894447327, 0.2117839753627777, 0.15785092115402222, 0.8394249081611633, -0.5491098165512085, 0.5174682140350342, 0.08196575939655304, 0.10337555408477783, 0.017596982419490814, -0.09447289258241653, -0.1701042503118515, -0.07091847062110901, -0.4108797311782837, -0.01516658440232277, -0.1278059333562851, 0.22093795239925385, 0.09208954870700836, 0.017561158165335655, 0.2052992582321167, -0.266101598739624, -0.22896708548069, 0.046952903270721436, 0.05947280675172806, -0.41139522194862366, 0.07159315049648285, 0.061257872730493546, 0.2947201430797577]","[-0.04865718632936478, -0.14324121177196503, 0.11610366404056549, -0.105563685297966, 0.3358614444732666, -0.13403598964214325, -0.0214559156447649, -0.5711621046066284, -0.380176842212677, 0.08648613840341568, 0.2460029125213623, -0.09315404295921326, 0.4190439283847809, -0.3256547152996063, 0.6430187225341797, -0.25835075974464417, 0.49387669563293457, -0.5525803565979004, 0.12209678441286087, 0.4087294042110443, 0.2248264104127884, 0.01823200285434723, -0.18241363763809204, 0.021120969206094742, -0.7097634077072144, -0.17514461278915405, -0.24769042432308197, -0.11927778273820877, 0.004324086010456085, 0.001270851120352745, 0.2212454080581665, 0.23164045810699463, 0.05252358317375183, -0.2315954566001892, 0.13862165808677673, 0.27573448419570923, -0.26268795132637024, 0.16494536399841309, 0.01587821915745735, 0.2556373178958893]",0,1
Person runs as a player in competitive sport.,"[0.29063162207603455, 0.1785508543252945, 0.09714851528406143, -0.5387205481529236, 0.1699519008398056, 0.17704105377197266, 0.20095044374465942, -0.5516331791877747, -0.5026544332504272, 0.03966478258371353, 0.3394889533519745, 0.0391448512673378, 0.12151643633842468, -0.408983439207077, 0.5035009384155273, -0.028942560777068138, 0.9594369530677795, -0.29374876618385315, 0.027719102799892426, 0.47818130254745483, 0.8499221801757812, 0.541364848613739, -0.24575839936733246, -0.42661333084106445, -0.5159211158752441, -0.6044031977653503, 0.08004260063171387, -0.06236250698566437, 0.6905120611190796, 0.05940668284893036, 0.21472576260566711, 0.33770865201950073, -0.1686972975730896, -0.4239901006221771, 0.04504194110631943, -0.26940974593162537, -0.32792267203330994, -0.27627235651016235, 0.26892417669296265, 0.4738425612449646]","[0.3941972851753235, 0.06514909118413925, 0.3805229067802429, -0.5825985074043274, 0.0449271984398365, 0.06904711574316025, -0.21049408614635468, -0.45624175667762756, -0.34036099910736084, -0.023367280140519142, -0.24067649245262146, 0.49258744716644287, 0.21260684728622437, -0.2517226040363312, 0.7956450581550598, 0.10485423356294632, 0.8432740569114685, -0.23579886555671692, 0.033375076949596405, 0.6480530500411987, 0.7270835041999817, 0.8697343468666077, -0.013116961345076561, -0.08966638892889023, -0.4139884412288666, -0.4871740937232971, 0.0067224763333797455, 0.02266225777566433, 0.23435527086257935, 0.048840075731277466, 0.08263441175222397, 0.5374382734298706, 0.08794257789850235, -0.16175255179405212, -0.03654443472623825, -0.029615068808197975, -0.42970141768455505, 0.00041414983570575714, 0.1017073392868042, 0.6019088625907898]",0,1
Woman lays on floor.,"[-0.022592464461922646, 0.05239154398441315, -0.5582505464553833, -0.09853661060333252, -0.4389830231666565, -0.2540479004383087, 0.130832239985466, -0.14422236382961273, -0.00657733716070652, -0.18001598119735718, -0.0028372984379529953, -0.12808071076869965, 0.3333263695240021, -0.31181079149246216, 0.44087719917297363, -0.1920858770608902, 0.5943228602409363, -0.3431895077228546, -0.1657816469669342, 0.48099926114082336, 0.0021548084914684296, 0.2043815553188324, -0.05463741719722748, 0.21734268963336945, -0.45488613843917847, -0.25594061613082886, 0.04072142764925957, -0.3215904235839844, -0.25546711683273315, 0.3844878077507019, 0.5060558319091797, 0.7121115922927856, 0.21906808018684387, -0.26990023255348206, -0.05259068310260773, -0.11267470568418503, -0.014535895548760891, 0.29323437809944153, 0.250731885433197, 0.4994279146194458]","[-0.16225574910640717, 0.31563863158226013, -0.1899326592683792, -0.002435922622680664, -0.5077136754989624, -0.03601362556219101, 0.37501582503318787, -0.37924468517303467, -0.14690178632736206, -0.21499358117580414, 0.10932372510433197, 0.34635257720947266, 0.3790223002433777, -0.37096771597862244, 0.39879143238067627, 0.33158597350120544, 1.1545833349227905, -0.4795079529285431, -0.24305886030197144, 0.5717304944992065, 0.40033358335494995, 0.17644014954566956, -0.045760586857795715, 0.18860888481140137, -0.4815972149372101, -0.011924514546990395, -0.03985481336712837, -0.3649965524673462, -0.12381914258003235, 0.07691125571727753, 0.4500419795513153, 0.639356255531311, -0.2498842179775238, -0.20644332468509674, -0.18617327511310577, 0.02967905066907406, -0.6661604642868042, 0.4273393452167511, 0.36632832884788513, 0.3656730055809021]",0,1
Person holds ball.,"[0.4091671109199524, -0.019795963540673256, -0.13962073624134064, 0.014444999396800995, -0.24534043669700623, 0.1704130321741104, -0.10548732429742813, -0.4133206605911255, -0.05748416483402252, -0.05580959469079971, 0.07679063081741333, -0.034822940826416016, 0.4159356653690338, -0.22832609713077545, 0.4590972065925598, 0.034487299621105194, 0.40787869691848755, -0.09443875402212143, 0.10740157216787338, 0.6531572937965393, 0.41492047905921936, 0.0046086981892585754, -0.05710740387439728, -0.058084893971681595, -0.26241403818130493, -0.17069096863269806, 0.26952090859413147, -0.4646914005279541, 0.027855325490236282, 0.14215271174907684, 0.47066155076026917, 0.3045962154865265, -0.2419949769973755, -0.35942959785461426, -0.027675488963723183, -0.09187795966863632, -0.37969064712524414, 0.10477103292942047, 0.37732186913490295, 0.062233664095401764]","[0.1377929002046585, 0.0827391967177391, 0.20415280759334564, -0.5901393294334412, -0.5114684104919434, 0.25720688700675964, 0.10741844773292542, -0.6686354875564575, -0.21627609431743622, 0.003317302092909813, -0.0741192102432251, -0.014303267002105713, 0.22524848580360413, -0.31782832741737366, 0.5215532183647156, 0.059851862490177155, 0.9470658898353577, -0.5439028739929199, 0.05975153297185898, 0.7218446135520935, 0.4471316635608673, 0.5079200863838196, -0.28762027621269226, -0.26193225383758545, -0.5804718732833862, -0.5992956161499023, 0.226746067404747, 0.2637558579444885, -0.04228680953383446, -0.01708710379898548, 0.27366241812705994, 0.5512940287590027, 0.33515456318855286, 0.046016521751880646, -0.3870507478713989, -0.10744339227676392, -0.2552407681941986, 0.18885548412799835, 0.20783713459968567, 0.4705839455127716]",0,1
Woman lays on grass.,"[0.11676817387342453, -0.0337672159075737, 0.060460612177848816, -0.3962706923484802, -0.25040704011917114, -0.17806391417980194, 0.13841542601585388, -0.17748819291591644, -0.31719842553138733, -0.07836375385522842, 0.05270405113697052, -0.10805901885032654, 0.3268274962902069, -0.016920847818255424, 0.7574356198310852, 0.11510803550481796, 0.46822530031204224, -0.40319013595581055, -0.1714056432247162, 0.6430062055587769, 0.47375985980033875, 0.4508360028266907, -0.09272702038288116, -0.24749144911766052, -0.21031038463115692, -0.4679771065711975, -0.1057390570640564, -0.15025979280471802, -0.2559506595134735, 0.07368499785661697, 0.5427332520484924, 0.5996952056884766, 0.2453295886516571, -0.04699545353651047, -0.27482593059539795, 0.26241952180862427, -0.5862455368041992, -0.08212356269359589, -0.24254873394966125, 0.299836128950119]","[-0.003893831744790077, -0.17107447981834412, -0.06324465572834015, -0.40705156326293945, -0.1899808943271637, -0.07936856895685196, 0.15824078023433685, -0.29881057143211365, -0.47292497754096985, -0.032197557389736176, 0.19159454107284546, 0.3069596588611603, 0.23307564854621887, -0.1843046396970749, 0.9270997643470764, 0.14619873464107513, 0.17500998079776764, -0.12173948436975479, -0.08073442429304123, 0.8099360466003418, 0.5291252136230469, 0.36983686685562134, -0.5201457738876343, -0.14373479783535004, -0.33322349190711975, 0.0857047587633133, 0.03633677586913109, -0.23976515233516693, 0.4435681998729706, 0.551021158695221, 0.6110138297080994, 0.5007994174957275, -0.08361203223466873, -0.15661364793777466, 0.0003245752304792404, 0.1591607630252838, -0.24315610527992249, -0.1133212000131607, 0.17778488993644714, 0.3253532350063324]",0,1
Person sits on rock.,"[0.18797709047794342, -0.2341097593307495, 0.2756524085998535, -0.5458680987358093, -0.43821942806243896, -0.7128220200538635, 0.46564924716949463, -0.44507336616516113, -0.1219998151063919, -0.46286648511886597, 0.3471408486366272, 0.20170992612838745, 0.28210875391960144, -0.12421776354312897, 0.8863806128501892, -0.05020441114902496, 0.7554948925971985, -0.20393645763397217, -0.3933657109737396, 0.7905935645103455, 0.18840736150741577, 0.4369054436683655, -0.24155418574810028, -0.1245865747332573, -0.2530430257320404, 0.0380987673997879, -0.0011298693716526031, -0.4280996322631836, -0.1988464593887329, -0.1803106814622879, 0.490505188703537, 0.5203783512115479, -0.10131972283124924, -0.027290040627121925, 0.47707128524780273, -0.528221845626831, -0.32971712946891785, 0.2885573208332062, -0.08419996500015259, 0.05983516573905945]","[-0.3726942241191864, 0.2601589858531952, -0.32813042402267456, -0.4909934401512146, -0.6142546534538269, -0.09217355400323868, 0.45635977387428284, -0.9439904093742371, -0.49171534180641174, -0.13324350118637085, -0.3941284716129303, 0.2217991203069687, 0.28751900792121887, -0.22865132987499237, 0.2955577075481415, 0.03238401561975479, 0.6100720167160034, -0.4883768856525421, -0.41019460558891296, 0.4905730187892914, 0.6390912532806396, 0.22007529437541962, 0.19196902215480804, -0.5678072571754456, -0.17531412839889526, -0.5614625215530396, -0.29303276538848877, -0.28442996740341187, 0.21910595893859863, 0.10788410156965256, 0.4777173697948456, 0.28153476119041443, -0.5079149603843689, -0.07502245903015137, -0.02930106408894062, -0.2546180784702301, -0.16673524677753448, 0.6599574089050293, -0.2963622510433197, 0.0689196065068245]",0,1
Girl sits on rock,"[-0.08797363191843033, -0.13583680987358093, -0.2959862947463989, -0.1193145215511322, 0.23330865800380707, -0.12616848945617676, 0.3112896680831909, -0.5028865337371826, -0.7478770613670349, 0.030338233336806297, 0.4824747145175934, 0.40898025035858154, 0.26406484842300415, -0.24426059424877167, 0.743552029132843, 0.24254672229290009, 0.835353672504425, -0.034564368426799774, -0.018286235630512238, 0.6834598779678345, 0.501992404460907, 0.2799493074417114, -0.520049512386322, -0.34839126467704773, -0.568102240562439, -0.16838864982128143, -0.07542262971401215, 0.19071470201015472, 0.4009351134300232, 0.12004850804805756, 0.4956318438053131, 0.8308070302009583, -0.2139323353767395, -0.19588805735111237, 0.24034738540649414, -0.34058594703674316, -0.19989348948001862, 0.14042632281780243, -0.8080675601959229, 0.2828817665576935]","[-0.12519507110118866, 0.1968533843755722, -0.18353156745433807, 0.014965325593948364, -0.5956479907035828, -0.09547194093465805, 0.17463801801204681, -0.09528812021017075, -0.1598162055015564, -0.04398023337125778, -0.007330430671572685, -0.16536426544189453, 0.410626620054245, -0.40670323371887207, 0.4345645010471344, 0.3282339870929718, 0.6545243859291077, -0.2582564949989319, -0.389177143573761, 0.8014712333679199, 0.43669894337654114, 0.20086200535297394, -0.4098843038082123, -0.008527296595275402, -0.5914124250411987, -0.1832004338502884, 0.06500774621963501, -0.5776787400245667, 0.3315654695034027, 0.08517257869243622, 0.26695069670677185, 0.3646713197231293, -0.24490779638290405, 0.17396105825901031, 0.04600689560174942, 0.08115704357624054, -0.2974708378314972, 0.03356485068798065, -0.09524649381637573, 0.11935598403215408]",0,1
Man jumps off a rock.,"[0.2579774260520935, -0.03290972858667374, -0.26267027854919434, -0.3671550750732422, 0.19083401560783386, -0.10887281596660614, 0.23218245804309845, -0.5347791910171509, -0.15053723752498627, 0.13963651657104492, 0.35979896783828735, -0.30205750465393066, 0.18485721945762634, -0.5953033566474915, 0.8910315632820129, 0.23900310695171356, 0.49543291330337524, 0.044267624616622925, -0.4104861617088318, 0.878222644329071, 0.11055795848369598, 0.06137409061193466, -0.3722244203090668, 0.044578906148672104, -0.3386440575122833, -0.1309952288866043, -0.08985044062137604, -0.17186571657657623, 0.08724458515644073, -0.16002793610095978, 0.33218368887901306, 0.45936283469200134, 0.02785462886095047, 0.22903592884540558, 0.368172287940979, -0.1395924836397171, -0.18103264272212982, 0.273095041513443, 0.15407709777355194, -0.10888228565454483]","[0.4995810091495514, -0.020398104563355446, -0.18076641857624054, -0.2330615520477295, 0.07826332002878189, -0.07131629437208176, 0.2501235902309418, -0.24582840502262115, -0.36470451951026917, -0.11489459127187729, 0.16979341208934784, -0.11194325983524323, 0.19515864551067352, -0.4127481281757355, 0.5982624292373657, -0.02498951368033886, 0.603026807308197, -0.0716334730386734, -0.041791535913944244, 0.7313528656959534, 0.32051882147789, 0.4906396269798279, -0.24808244407176971, 0.0456596277654171, -0.19483880698680878, -0.18254293501377106, 0.2593422532081604, -0.25217634439468384, 0.31318527460098267, -0.0006871242076158524, 0.2960152328014374, 0.539052426815033, 0.2342759668827057, -0.06154439598321915, 0.3101470470428467, -0.26316022872924805, -0.22408439218997955, -0.02006099931895733, 0.12125110626220703, 0.32104986906051636]",0,1
Boy jumps on rock.,"[0.24366702139377594, -0.11946266144514084, -0.033463552594184875, -0.2614670991897583, 0.4266723394393921, -0.0748555138707161, -0.08988784998655319, -0.31922051310539246, -0.42727747559547424, -0.18553170561790466, 0.10396935045719147, -0.19436204433441162, 0.042923543602228165, -0.36677947640419006, 0.7025395035743713, 0.06156954914331436, 0.9271965622901917, -0.36473768949508667, -0.5352554321289062, 0.5492311716079712, -0.08295455574989319, 0.2840837836265564, -0.3928447961807251, -0.10539709031581879, 0.019361300393939018, -0.5050728917121887, -0.10854031145572662, 0.03956566005945206, 0.4091266095638275, -0.2720909118652344, 0.654841959476471, 0.3232450783252716, 0.13715970516204834, -0.0399475023150444, 0.08367408812046051, -0.30167338252067566, -0.6151171326637268, 0.40392738580703735, -0.23576626181602478, 0.483029842376709]","[0.10119303315877914, 0.0886213406920433, 0.031449347734451294, -0.25676578283309937, 0.2708841562271118, -0.17279012501239777, 0.19342102110385895, -0.1710645705461502, -0.22197015583515167, 0.040447451174259186, 0.41347643733024597, 0.16015711426734924, 0.5193631649017334, -0.3511359989643097, 0.6357490420341492, 0.06484485417604446, 0.3755313754081726, 0.1490558236837387, -0.2234395146369934, 0.704008936882019, 0.31314876675605774, 0.11903592944145203, -0.34661629796028137, -0.10104067623615265, -0.08906075358390808, -0.41505712270736694, 0.08915869891643524, -0.19897745549678802, 0.2535826861858368, -0.4851730465888977, 0.5977566838264465, 0.2864701449871063, 0.3101053237915039, 0.04149100184440613, -0.1677393615245819, -0.14027366042137146, -0.5480981469154358, 0.20783351361751556, 0.010249171406030655, 0.2766828238964081]",0,1
