sentence,image_1,image_2,label_image1,label_image2
A bride sitting in a chair.,"[0.5099231600761414, -0.07664622366428375, 0.5214672088623047, 0.36246952414512634, 0.2665868103504181, -0.2832922041416168, 0.1709858477115631, -0.21424634754657745, -0.6296653151512146, -0.27680346369743347, -0.15970082581043243, 0.07922113686800003, -0.6906212568283081, 0.1631176471710205, -0.3970434069633484, 0.35876885056495667]","[-0.017968041822314262, 0.04018261656165123, 0.79002845287323, 0.3072989583015442, 0.19597215950489044, -0.6506116390228271, 0.16911688446998596, -0.17473261058330536, -0.027133416384458542, 0.11998286843299866, 0.5359746217727661, -0.12898346781730652, -0.6100687980651855, -0.14538507163524628, -0.02275731787085533, 0.41350895166397095]",0,1
A girl sits on a ball.,"[-0.01377771608531475, -0.24685828387737274, 0.5761511921882629, 0.20173686742782593, 0.3156428337097168, -0.337576687335968, 0.24955707788467407, -0.27205464243888855, -0.08734185993671417, -0.18987464904785156, 0.4978252947330475, 0.08697981387376785, -0.4409688711166382, -0.07712502777576447, 0.22586584091186523, 0.26297175884246826]","[0.3493644893169403, -0.16746118664741516, 0.2775038182735443, 0.2335640788078308, 0.6842873692512512, -0.330105721950531, 0.25336164236068726, -0.5170274376869202, -0.4057677686214447, 0.08148106932640076, 0.09045480936765671, 0.016575969755649567, -0.5248034000396729, 0.1814165860414505, -0.05424470826983452, 0.14403682947158813]",0,1
A man is hit with a ball.,"[0.6249678730964661, 0.2890247106552124, 0.6683012843132019, 0.04273441806435585, 0.25188887119293213, -1.2782783508300781, 0.5382479429244995, -0.0630488321185112, -0.005524303764104843, -0.3648548424243927, 0.3818263113498688, 0.5250381827354431, -0.13272733986377716, -0.37552276253700256, 0.39864715933799744, 0.48195695877075195]","[0.13231433928012848, -0.2093321681022644, 0.6512578129768372, -0.2111506462097168, 0.41151565313339233, -0.697223424911499, -0.1394088864326477, -0.2006092220544815, -0.17622250318527222, -0.1291784793138504, 0.3468199670314789, -0.1324482262134552, -0.1953200399875641, -0.055527664721012115, 0.6535061597824097, 0.132770374417305]",0,1
Girl sits on a ball.,"[0.050222232937812805, -0.13011881709098816, 0.4095442295074463, -0.08408612012863159, 0.3451569974422455, -0.5539306998252869, 0.21757397055625916, -0.3321878910064697, -0.12222975492477417, -0.12614323198795319, 0.21616138517856598, 0.11678611487150192, -0.22612830996513367, 0.018455596640706062, 0.19377809762954712, 0.48398518562316895]","[0.4293764531612396, -0.12419252097606659, 0.7217532396316528, -0.13398903608322144, 0.4058392345905304, -0.7886511087417603, 0.38721686601638794, -0.5687073469161987, -0.3801487982273102, -0.1214025616645813, 0.3731584846973419, 0.24252593517303467, -0.38628441095352173, -0.5527873039245605, 0.5059242844581604, 0.291533499956131]",0,1
The player hit the ball.,"[0.08467847108840942, 0.0626240223646164, 0.893930196762085, -0.2979489266872406, 0.3520876169204712, -0.9827768206596375, 0.16824376583099365, 0.04748927056789398, -0.2910587191581726, 0.31062036752700806, 0.34395989775657654, -0.23367458581924438, -0.11004743725061417, -0.1413251906633377, 0.3934483528137207, 0.12622247636318207]","[0.6249678730964661, 0.2890247106552124, 0.6683012843132019, 0.04273441806435585, 0.25188887119293213, -1.2782783508300781, 0.5382479429244995, -0.0630488321185112, -0.005524303764104843, -0.3648548424243927, 0.3818263113498688, 0.5250381827354431, -0.13272733986377716, -0.37552276253700256, 0.39864715933799744, 0.48195695877075195]",0,1
A person hitting a tennis ball.,"[0.0705767348408699, -0.30691540241241455, 0.8661717176437378, -0.47533974051475525, 0.45532089471817017, -0.8975785970687866, 0.6152840256690979, 0.04391385614871979, -0.28644832968711853, 0.7197185754776001, 0.505384087562561, -0.15399688482284546, -0.6555236577987671, -0.021528271958231926, 0.4425235986709595, 0.41584452986717224]","[0.2241944819688797, 0.6374666690826416, 0.3490627706050873, 0.4918501079082489, 0.5483430027961731, -1.4495089054107666, 0.045164354145526886, -0.33123230934143066, -0.3801446557044983, 0.399978905916214, -0.3315832018852234, 0.30434247851371765, -0.2146458476781845, 0.012708859518170357, 0.7196889519691467, 0.16684004664421082]",0,1
A woman plays ball in the pool.,"[0.5363372564315796, -0.3468387722969055, 0.7171218991279602, -0.06948255002498627, 0.05482812970876694, -1.0539602041244507, 0.48501336574554443, -0.3422226905822754, -0.3332229554653168, -0.058192431926727295, 0.06984399259090424, -0.06056360900402069, -0.5863611698150635, -0.01112443022429943, 0.5313333868980408, 0.7752214670181274]","[0.3936575949192047, 0.04791056737303734, 0.6591396331787109, -0.29485511779785156, 0.3031803369522095, -0.5184593796730042, 0.23876452445983887, -0.3208901286125183, -0.18030990660190582, 0.02020454593002796, 0.04071653634309769, 0.41934898495674133, -0.11632010340690613, -0.0006105285137891769, 0.4638233184814453, 0.09696970880031586]",0,1
The woman is standing on the beach with a surfboard.,"[0.394382506608963, -0.1715022474527359, 0.6238568425178528, 0.2745774984359741, 0.29507145285606384, -0.5002959966659546, 0.28257685899734497, -0.3292585015296936, -0.4247569143772125, -0.07419872283935547, 0.11659009754657745, -0.23493340611457825, -0.8319249749183655, 0.14787514507770538, -0.014726962894201279, 0.42270758748054504]","[0.23453675210475922, -0.05938646197319031, 0.7256107330322266, -0.4149214029312134, 0.13096603751182556, -0.6059290170669556, 0.24208390712738037, -0.19014936685562134, -0.13370703160762787, 0.0838729739189148, 0.2206386923789978, 0.22572097182273865, 0.02249656245112419, -0.29763397574424744, 0.4110328257083893, 0.4225524067878723]",0,1
The man sits by the pier,"[-0.1758652627468109, 0.47477278113365173, 0.7807662487030029, 0.2334044873714447, 0.0038148928433656693, -0.5906015634536743, 0.17973044514656067, -0.45105674862861633, -0.30096977949142456, 0.17263652384281158, -0.08682272583246231, 0.2513691484928131, -0.45243334770202637, 0.22414946556091309, 0.5876321792602539, 0.3104058504104614]","[0.044916972517967224, 0.6172105669975281, 0.2469329833984375, 0.10888251662254333, -0.12839017808437347, -0.2032068371772766, -0.00895419530570507, -0.3105155825614929, -0.9101046919822693, 0.1593632996082306, -0.4615258276462555, 0.36500346660614014, -0.6077483892440796, 0.24427753686904907, 0.14699533581733704, 0.39316004514694214]",0,1
A man jumps into water.,"[0.42430734634399414, -0.1814502775669098, 0.565155029296875, -0.13576993346214294, 0.40138712525367737, -1.051759958267212, -0.05534627288579941, -0.12813597917556763, -0.2746610939502716, -0.34357133507728577, -0.2515827715396881, 0.22414150834083557, -0.36855441331863403, -0.407747358083725, 0.9637171030044556, 0.0869162529706955]","[0.2612704634666443, 0.568909227848053, 0.3546122610569, 0.0788344293832779, 0.35320091247558594, -1.020736575126648, 0.08528292179107666, -0.18724752962589264, -0.3165362775325775, -0.2068997621536255, -0.03899510204792023, -0.03215914964675903, -0.2477424442768097, -0.20798234641551971, 0.6457720398902893, 0.4207390546798706]",0,1
