sentence,image_1,image_2,label_image1,label_image2
A businessman sitting in a chair.,"[0.2798830568790436, -0.21622614562511444, 0.08248857408761978, -0.3677668869495392, -0.3608904778957367, 0.5917599201202393, 0.33946987986564636, -0.05262550711631775, 0.031963907182216644, 0.11762959510087967, 0.1439329832792282, 0.4214515686035156, -0.26740744709968567, -0.33846771717071533, 0.47343915700912476, -0.006153455935418606]","[0.29045557975769043, 0.020990507677197456, 0.1717933714389801, -0.034426793456077576, -0.1962270438671112, 0.5665856599807739, 0.24160198867321014, 0.22468163073062897, 0.17705485224723816, -0.10155066102743149, 0.07025300711393356, 0.5294767022132874, -0.28915226459503174, 0.08297385275363922, 0.21557539701461792, 0.234587162733078]",0,1
A boy sits in a chair.,"[0.005247602239251137, -0.32783156633377075, -0.2761845886707306, -0.018796907737851143, -0.39337486028671265, 0.6468042731285095, 0.7558678388595581, 0.36578187346458435, 0.07502390444278717, -0.16244471073150635, 0.04075060784816742, 0.3503648042678833, -0.20031651854515076, 0.014444848522543907, 0.08605435490608215, 0.33748340606689453]","[-0.02036905102431774, -0.08359289914369583, 0.13125208020210266, -0.26640036702156067, -0.3467666208744049, 0.36255839467048645, 0.383571058511734, 0.07638253271579742, 0.09726548194885254, -0.011371655389666557, 0.19557204842567444, 0.33257585763931274, -0.3919588327407837, -0.2850731611251831, 0.2773025333881378, -0.01047759409993887]",0,1
The woman sits in a chair.,"[0.2002532035112381, -0.38112974166870117, -0.09287121146917343, -0.24720437824726105, -0.5452399253845215, 0.4987461268901825, 0.3283675014972687, 0.16545556485652924, -0.01577415131032467, 0.08396568149328232, 0.13527728617191315, 0.3415265679359436, -0.1946897953748703, -0.3338053822517395, 0.07005737721920013, 0.3656332790851593]","[0.5556196570396423, -0.26443415880203247, -0.04509342461824417, -0.01015830971300602, 0.035608142614364624, 0.755096971988678, 0.3292442858219147, 0.09358899295330048, -0.212932288646698, 0.11551555246114731, 0.14442035555839539, 0.15447531640529633, -0.08061619848012924, 0.0754791721701622, 0.39042264223098755, 0.5210996270179749]",0,1
A woman is standing next to a chair.,"[0.20596829056739807, -0.14323477447032928, 0.07502056658267975, 0.11900387704372406, 0.1601397693157196, 0.9090374708175659, 0.46401455998420715, -0.05603955686092377, -0.19365985691547394, 0.06155125051736832, 0.1477806568145752, 0.5168796181678772, -0.03737138956785202, 0.022468028590083122, 0.002558847889304161, 0.5185118913650513]","[0.10268410295248032, -0.44262102246284485, 0.07440189272165298, 0.16075442731380463, 0.3331967294216156, 1.004218578338623, 0.7385693788528442, -0.3676471710205078, 0.3760472238063812, -0.18607282638549805, -0.11253297328948975, 0.04303634166717529, 0.16751264035701752, 0.045625679194927216, -0.035719603300094604, -0.22917725145816803]",0,1
An anxious bride sitting in a chair.,"[0.2796095907688141, -0.5898085236549377, 0.03300980478525162, 0.07812869548797607, 0.5291220545768738, 0.7346514463424683, 0.1394953578710556, -0.026251090690493584, -0.7409286499023438, 0.033305324614048004, 0.07356362044811249, 0.5976119637489319, -0.3416805565357208, 0.013276727870106697, -0.1497172713279724, 0.28308895230293274]","[-0.07638479024171829, -0.12925399839878082, 0.1329454630613327, -0.1455921083688736, -0.6221898198127747, 0.38231220841407776, 0.4606863558292389, -0.006107090041041374, -0.06224720925092697, -0.08014538139104843, 0.17716877162456512, 0.3576067090034485, -0.5117039680480957, -0.1495414823293686, 0.27481240034103394, 0.17724080383777618]",0,1
The business man is sitting in a chair.,"[0.22678278386592865, -0.09577855467796326, 0.12964779138565063, -0.28893712162971497, -0.42932799458503723, 0.41922304034233093, 0.2422960251569748, -0.20663633942604065, 0.16188116371631622, 0.21464382112026215, 0.11905268579721451, 0.2707359790802002, -0.1524655520915985, -0.25811946392059326, 0.2948313355445862, 0.18228982388973236]","[0.5690831542015076, -0.06870900094509125, 0.23983527719974518, 0.118474081158638, -0.1817374974489212, 0.7323238849639893, 0.23243285715579987, 0.09174278378486633, -0.08949626982212067, -0.33189114928245544, 0.11924614012241364, 0.2908572554588318, -0.1833007037639618, -0.09442214667797089, 0.07598917186260223, 0.283306747674942]",0,1
A boy sits incorrectly in a chair.,"[0.3875816762447357, 0.1710628867149353, 0.2477482557296753, 0.2486710101366043, 0.12215036153793335, 0.5715314149856567, 0.2935941517353058, 0.04196795076131821, 0.31847071647644043, 0.22837777435779572, 0.5410892963409424, 0.11046427488327026, -0.15043464303016663, -0.36122599244117737, 0.1432965099811554, 0.3329448103904724]","[0.20991794764995575, -0.23326332867145538, 0.07655909657478333, 0.3657434284687042, -0.15646743774414062, 0.6563820242881775, 0.38403597474098206, 0.05640921741724014, -0.2372162938117981, -0.24770379066467285, 0.2820280194282532, 0.3235378861427307, -0.23389515280723572, -0.03451661765575409, 0.08413434773683548, 0.34882619976997375]",0,1
A man runs in the street,"[0.002010548487305641, -0.5206756591796875, 0.3022840619087219, -0.0055623967200517654, 0.052610039710998535, 0.8262357115745544, 0.5953869223594666, -0.011501384899020195, 0.4483288824558258, 0.16871553659439087, 0.2311018854379654, 0.15118685364723206, -0.32417282462120056, 0.1786031872034073, 0.04373295605182648, 0.22539852559566498]","[-0.028184449300169945, -0.17225858569145203, 0.1559879332780838, 0.1732415407896042, -0.0025513898581266403, 1.0018560886383057, 0.1596849411725998, 0.05443279445171356, 0.19041228294372559, -0.11643160134553909, 0.27279582619667053, 0.046243034303188324, -0.40747106075286865, 0.16249552369117737, -0.12556663155555725, 0.47077083587646484]",0,1
A young girl sits in front of a man on a bed.,"[0.14696742594242096, -0.19849886000156403, 0.35100021958351135, 0.15820588171482086, 0.16238649189472198, 0.8824056386947632, 0.2932659089565277, -0.03503096103668213, 0.07728805392980576, 0.1076861247420311, -0.09658896923065186, 0.2765125036239624, -0.2644585967063904, -0.04889035224914551, 0.0852486789226532, 0.611520528793335]","[0.4499230682849884, -0.22861018776893616, 0.06416187435388565, 0.11990538239479065, 0.01675049401819706, 0.7112639546394348, 0.3518766462802887, -0.1435861736536026, -0.003608768805861473, -0.18150468170642853, 0.13092677295207977, 0.28002452850341797, 0.04402807354927063, 0.17250122129917145, 0.08330097049474716, -0.039051227271556854]",0,1
The girls cross the road.,"[0.3014739155769348, -0.15007175505161285, -0.2608305811882019, 0.008167145773768425, -0.28325584530830383, 0.821662425994873, 0.4340800940990448, 0.22554440796375275, 0.1595124453306198, -0.22294732928276062, 0.07347560673952103, -0.04806789010763168, -0.2136240303516388, 0.18398571014404297, 0.20326051115989685, 0.158985897898674]","[-0.0077826883643865585, 0.27169299125671387, 0.09100290387868881, 0.29387959837913513, 0.2541331350803375, 0.757155179977417, 0.2746606469154358, -0.1215505450963974, 0.2518530488014221, 0.03318411856889725, -0.005452081561088562, 0.2388470619916916, -0.27403682470321655, 0.021409688517451286, -0.03769207000732422, -0.17349466681480408]",0,1
