sentence_pos,sentence_neg,image,label_pos,label_neg
Dog chases cat, Cat chases dog,"[0.4448593258857727, 0.0029295841231942177, 0.41837865114212036, 0.16284231841564178, -0.06765585392713547, -0.08487462997436523, -0.1970965713262558, -0.5811246037483215, 0.35474690794944763, -0.32777562737464905, 0.793478786945343, 0.32351961731910706, -0.2295633852481842, -0.4905678331851959, -0.5066924691200256, 0.08802460879087448, -0.6681499481201172, 0.14984221756458282, 0.5731939077377319, -0.13991060853004456]",0,1
Lion chases zebra, Zebra chases lion,"[0.15839529037475586, -0.6116482019424438, 0.27149850130081177, 0.2129899114370346, -0.4237710237503052, 0.11316285282373428, -0.5675902962684631, -0.36197975277900696, -0.38469675183296204, -0.7773253321647644, 0.6674472689628601, -0.34270697832107544, -0.2827131748199463, -0.5085840225219727, -0.37539398670196533, 0.44379958510398865, -0.41828545928001404, -0.029484404250979424, 0.6483556032180786, -0.234603613615036]",0,1
Cheetah chases gazelle, Gazelle chases cheetah,"[0.3010323643684387, 0.006070883013308048, 0.2966997027397156, 0.2295251488685608, -0.231023907661438, -0.10856943577528, -0.46848931908607483, -0.38512179255485535, -0.36818864941596985, -0.5973880887031555, 0.6506229043006897, -0.057379305362701416, 0.1946149468421936, -0.557287335395813, -0.2642141580581665, 0.5376381874084473, -0.6320703029632568, 0.1316196322441101, 0.4512019455432892, 0.16331738233566284]",0,1
Horse chases sheep, Sheep chases horse,"[0.0910160094499588, -0.03202560544013977, 0.253181517124176, -0.13253609836101532, -0.5265581607818604, -0.16287434101104736, -0.5040173530578613, -0.6215971112251282, -0.606445848941803, -0.3285354971885681, 0.6258524060249329, -0.16290965676307678, -0.1048891693353653, -0.05772048607468605, -0.578965425491333, 0.5221125483512878, -0.3032899796962738, -0.0048284512013196945, 0.45307937264442444, -0.44024044275283813]",0,1
Fox chases rabbit, Rabbit chases fox,"[0.031153397634625435, 0.026400864124298096, -0.028092455118894577, 0.000653732568025589, -0.24601000547409058, 0.045332200825214386, -0.6508623957633972, -0.6687770485877991, 0.162781223654747, -0.8430392146110535, 0.6324154734611511, 0.2986542880535126, -0.11133953928947449, -0.3438376486301422, -0.3217782974243164, 0.27010470628738403, -0.6548511385917664, -0.12294769287109375, 0.48060083389282227, -0.03415573388338089]",0,1
Polar bear chases seal, Seal chases polar bear,"[-0.15762807428836823, 0.1882600635290146, 0.23747749626636505, 0.14464929699897766, -0.31525447964668274, 0.401546448469162, -0.35961514711380005, -0.7662595510482788, 0.14842617511749268, -1.110282063484192, 0.26156604290008545, 0.5842731595039368, -0.1396096646785736, -0.0829072892665863, -0.27028942108154297, 0.14695090055465698, -0.3226430118083954, 0.1423414796590805, 0.08749231696128845, -0.04388026148080826]",0,1
Bear chases girl, Girl chases bear,"[0.42575812339782715, -0.10185379534959793, 0.4248201251029968, 0.4793916642665863, -0.5029147863388062, 0.5448002219200134, -0.16581593453884125, -0.6333140730857849, -0.031119056046009064, -0.8225881457328796, 0.6904706954956055, 0.035096555948257446, -0.2953077256679535, -0.14279232919216156, -0.38752609491348267, 0.7084633708000183, -0.09990864247083664, -0.006420327350497246, 0.23874591290950775, -0.3827829658985138]",0,1
Police chases man, Man chases police,"[0.14157404005527496, 0.15779876708984375, 0.24378757178783417, 0.5882337689399719, -0.19977834820747375, 0.1844591498374939, -0.1680683046579361, -1.103100061416626, -0.16823843121528625, -0.4805399477481842, 0.6999874711036682, 0.23013564944267273, 0.1996288001537323, 0.017068538814783096, -0.3254891037940979, 0.21244068443775177, -0.5110504031181335, -0.1430968940258026, 0.13775938749313354, -0.38031208515167236]",0,1
Dog chases boy, Boy chases dog,"[0.08300818502902985, 0.013752148486673832, 0.17001603543758392, 0.5429428219795227, -0.5397154092788696, 0.08973012119531631, 0.1781945675611496, -0.6223820447921753, 0.12824741005897522, -0.46740078926086426, 1.1630685329437256, -0.16225269436836243, 0.0022779665887355804, -0.4917856752872467, -0.6449748873710632, 0.2847139239311218, -0.671161949634552, -0.0062209200114011765, 0.3513237237930298, -0.21453681588172913]",0,1
Child chases dog, Dog chases child,"[0.2620783746242523, -0.11969661712646484, 0.3328053951263428, 0.49886927008628845, -0.22518664598464966, 0.13551783561706543, -0.08363846689462662, -0.7371651530265808, -0.14329427480697632, -0.6392307281494141, 1.2853773832321167, 0.060175731778144836, 0.16857126355171204, -0.7104238271713257, -0.6371387839317322, 0.19195325672626495, -0.5702358484268188, -0.22734126448631287, 0.4918534755706787, -0.3985495865345001]",0,1
