sentence,image_1,image_2,label_image1,label_image2
A businessman sitting in a chair.,"[0.5619982481002808, -0.3248385190963745, -0.46240732073783875, -0.47258615493774414, 0.23903755843639374, 0.5366782546043396, -0.3965561091899872, 0.38169923424720764, -0.4107039272785187, 0.2540225386619568, 0.5391840934753418, 0.2750051021575928, 0.22680190205574036, -0.12968109548091888, 0.17127451300621033, -0.2325330376625061, 0.5459609627723694, 0.30823567509651184, 0.3863309919834137, -0.30776774883270264, 0.7606143951416016, 0.3233605921268463, -0.47648656368255615, 0.4544878602027893, 0.26638558506965637, -0.2992660105228424, 0.22958724200725555, 0.474939227104187, 0.46957850456237793, 0.2692115008831024, 0.5151835083961487, -0.06619060784578323, 0.41885101795196533, 0.07752416282892227, 0.1526491940021515, -0.2609417140483856, -0.12212152034044266, 0.3798956573009491, 0.020933326333761215, 0.0982230007648468, 0.029263224452733994, -0.28296613693237305, -0.18106865882873535, -0.05767597258090973, 0.44739431142807007, -0.012994056567549706, -1.0186938047409058, -0.20279616117477417, 0.06770861148834229, 0.10570807009935379, -0.025242652744054794, 0.5203415155410767, 0.6214374303817749, 0.1887851059436798, -0.21863114833831787, 0.11443190276622772, -0.19517941772937775, -0.5340275764465332, 0.5365305542945862, -0.42022505402565]","[0.15657328069210052, -0.41749072074890137, -0.40501973032951355, -0.3478906750679016, 0.45046836137771606, 0.3437167704105377, -0.4040861129760742, 0.7789381146430969, -0.37902969121932983, 0.2908264398574829, 0.1637796312570572, 0.39348649978637695, -0.05687161907553673, -0.37244555354118347, 0.10078802704811096, 0.03848399966955185, 0.20864760875701904, 0.09628625214099884, 0.17422644793987274, -0.9294098615646362, 0.513155996799469, 0.1778528392314911, -0.7639923095703125, 0.18612483143806458, -0.3364063799381256, -0.16100826859474182, 0.008583610877394676, -0.2230456918478012, 0.4530150592327118, 0.023160992190241814, 0.4175916016101837, -0.12120427936315536, 0.4783967435359955, 0.15951070189476013, -0.13509364426136017, -0.034679435193538666, -0.5881903767585754, 0.4711746871471405, 0.24004918336868286, 0.3562079966068268, -0.1225910484790802, -0.13489390909671783, -0.09055563062429428, 0.2591993510723114, -0.04560727998614311, -0.29922929406166077, -1.0919455289840698, -0.18300920724868774, -0.019597936421632767, -0.19363993406295776, 0.034116458147764206, 0.41865697503089905, 0.3935788869857788, 0.5459794402122498, -0.2692960500717163, -0.010566497221589088, -0.6040907502174377, -0.3060176372528076, 0.3696984052658081, -0.3336833119392395]",0,1
A boy sits in a chair.,"[0.40596672892570496, -0.48758798837661743, -0.2934710681438446, -0.6538803577423096, 0.342426061630249, 0.22787199914455414, -0.15921948850154877, 0.6899373531341553, -0.08338214457035065, 0.38187819719314575, 0.45933112502098083, 0.5500898957252502, 0.1341390460729599, -0.44376447796821594, 0.10291683673858643, 0.25424960255622864, 0.376145601272583, 0.19781295955181122, 0.3616558015346527, -0.6315517425537109, 0.6648799777030945, 0.23086467385292053, -0.6312735080718994, 0.282392293214798, 0.03818622976541519, -0.2752864360809326, -0.16785810887813568, -0.06624576449394226, 0.2829527258872986, 0.23283542692661285, 0.3955790102481842, -0.46146029233932495, 0.6010404825210571, 0.10214710980653763, -0.01035250537097454, -0.20154961943626404, -0.9864183068275452, 0.18540483713150024, 0.016709472984075546, 0.10126040875911713, 0.17761707305908203, -0.38535788655281067, 0.07223775237798691, 0.1582687497138977, 0.09361100196838379, -0.4841170012950897, -1.189329981803894, -0.07438744604587555, -0.026194114238023758, 0.00042293034493923187, -0.1655442863702774, 0.3445475697517395, 0.7055216431617737, 0.31434449553489685, -0.21378275752067566, 0.046382926404476166, -0.6755347847938538, -0.13435925543308258, 0.33765143156051636, -0.1429147720336914]","[0.3221244513988495, -0.23491472005844116, -0.3790604770183563, -0.47655874490737915, 0.17984861135482788, 0.41621994972229004, -0.1439499706029892, 0.30707260966300964, -0.5292056202888489, 0.3169725835323334, 0.468232661485672, 0.4084237515926361, 0.3455146253108978, -0.24033787846565247, 0.03923562169075012, -0.2882975935935974, 0.45729103684425354, 0.13646450638771057, 0.19764965772628784, -0.21608412265777588, 0.6787922382354736, 0.36587947607040405, -0.5800871253013611, 0.14697803556919098, 0.05396509915590286, -0.2181892991065979, 0.07523678988218307, 0.106310173869133, 0.4614041745662689, 0.3334496021270752, 0.35696837306022644, -0.006860917434096336, 0.5889779925346375, 0.0842152014374733, 0.05205973982810974, -0.13505423069000244, -0.23065043985843658, 0.2681247889995575, 0.15871238708496094, 0.01527700200676918, 0.055768515914678574, -0.09921921044588089, -0.278563529253006, -0.03753487020730972, 0.1575768142938614, -0.4067971110343933, -0.8906700611114502, -0.29771795868873596, -0.012144196778535843, -0.0669410452246666, -0.15100964903831482, 0.30700573325157166, 0.619105875492096, 0.24159665405750275, -0.21994344890117645, 0.2530291676521301, -0.3564952611923218, -0.2421795129776001, 0.43851107358932495, -0.2060541808605194]",0,1
The woman sits in a chair.,"[0.2888045310974121, -0.3504652976989746, -0.05871936306357384, -0.4288989305496216, 0.03017616458237171, 0.4655943512916565, 0.0069905854761600494, 0.17165438830852509, -0.22192399203777313, 0.37088948488235474, 0.609053373336792, 0.1599859893321991, -0.0212864950299263, -0.1572849005460739, 0.16368725895881653, -0.06509578973054886, 0.5191088318824768, 0.12620535492897034, 0.3408423960208893, -0.34612274169921875, 0.567250669002533, 0.37983423471450806, -0.12689712643623352, 0.2966783344745636, 0.13127401471138, -0.3303811550140381, -0.0553504154086113, 0.04820949584245682, 0.03484998643398285, 0.12206093221902847, 0.3110320270061493, -0.3146873414516449, 0.810445249080658, 0.033667512238025665, -0.24641866981983185, -0.16498996317386627, -0.11042877286672592, 0.41296595335006714, 0.1692763864994049, 0.011507648974657059, 0.23554128408432007, -0.1721668839454651, -0.25072792172431946, -0.001508893445134163, 0.21805866062641144, -0.1415053904056549, -0.7928997278213501, 0.02916090376675129, -0.3484463393688202, 0.21675345301628113, -0.0997915044426918, 0.3204817473888397, 0.48033607006073, 0.12463764101266861, -0.3126121759414673, 0.16242778301239014, -0.20415350794792175, -0.25956663489341736, 0.24835366010665894, -0.3548245429992676]","[0.34471437335014343, -0.22854852676391602, -0.12740997970104218, -0.39658844470977783, 0.13557255268096924, 0.44482558965682983, -0.2982308566570282, 0.34137582778930664, -0.2932795286178589, 0.04467187821865082, 0.6968798041343689, 0.021213456988334656, 0.09603837132453918, -0.1438436359167099, 0.1825297325849533, -0.1397167146205902, 0.21877723932266235, -0.032612916082143784, 0.42416664958000183, -0.2506240904331207, 0.49857786297798157, 0.20668070018291473, 0.09535833448171616, 0.20743826031684875, 0.3467388153076172, -0.2953667640686035, -0.03614068031311035, 0.19221465289592743, 0.28045424818992615, 0.33582866191864014, 0.5436449646949768, -0.19650153815746307, 0.49802592396736145, 0.2904704511165619, 0.173512265086174, -0.036098480224609375, -0.17169998586177826, 0.4684743285179138, 0.2547930181026459, -0.11387154459953308, 0.14147698879241943, -0.4144023656845093, -0.12103589624166489, -0.12858378887176514, 0.3304584324359894, 0.03473793715238571, -0.8972540497779846, 0.19774536788463593, -0.3025268316268921, 0.3795650601387024, -0.1544821858406067, 0.16250620782375336, 0.4556202292442322, 0.108119435608387, -0.2778036594390869, 0.29390087723731995, -0.045461855828762054, -0.2699134945869446, 0.39134448766708374, -0.7372419834136963]",0,1
A woman is standing next to a chair.,"[0.2259192019701004, -0.2505219578742981, -0.18078258633613586, -0.2974855303764343, 0.37687990069389343, 0.5712248086929321, -0.19434086978435516, 0.28130218386650085, 0.028095481917262077, 0.2904074490070343, 0.11173085868358612, 0.409488707780838, 0.04735228791832924, -0.286550909280777, -0.11873684823513031, 0.02514706738293171, 0.3657081425189972, 0.40632525086402893, 0.28189441561698914, -0.6648889183998108, 0.5282475352287292, 0.10433650016784668, -0.2971436679363251, 0.5065664052963257, -0.20105187594890594, -0.3458545207977295, -0.12162593007087708, -0.24944810569286346, 0.319218248128891, 0.006304582580924034, 0.5528725385665894, -0.30319279432296753, 0.4571722149848938, 0.06363215297460556, 0.12789031863212585, -0.09197991341352463, -0.04883226007223129, -0.09168650209903717, -0.09745794534683228, 0.3351996839046478, 0.15046259760856628, 0.2652472257614136, -0.4575204849243164, -0.10821550339460373, 0.20348823070526123, -0.14636461436748505, -0.9887418746948242, 0.15722374618053436, -0.38340216875076294, 0.34207603335380554, -0.16475015878677368, 0.430519700050354, 0.41897350549697876, 0.37196293473243713, -0.43642568588256836, 0.47120651602745056, -0.26530155539512634, 0.10977867245674133, 0.22159357368946075, -0.3988680839538574]","[-0.08497877418994904, -0.18702992796897888, -0.34976115822792053, -0.628760814666748, -0.4123242497444153, 0.08102388679981232, -0.22701330482959747, 0.03944516181945801, -0.2924596965312958, 0.4401748478412628, 0.0474478043615818, 0.6213300824165344, 0.5042099356651306, -0.3667391240596771, -0.2785772979259491, -0.10585293918848038, 0.3170951306819916, 0.48978257179260254, 0.593730628490448, -0.15043596923351288, 0.320760577917099, 0.07110655307769775, -0.266742080450058, 0.030804110690951347, 0.04488139599561691, -0.31228527426719666, 0.051193706691265106, 0.08480386435985565, 0.551409900188446, -0.1853983998298645, 0.7768133282661438, -0.0009919460862874985, 0.0706605315208435, -0.030910586938261986, 0.1786828637123108, -0.005534825846552849, 0.4384671151638031, 0.42265066504478455, -0.13187794387340546, 0.17311173677444458, -0.3079284727573395, -0.050790123641490936, -0.7115650773048401, -0.303575724363327, -0.5437555909156799, -0.638452410697937, -0.6510124802589417, 0.1336372345685959, -0.32645663619041443, 0.29225173592567444, -0.2877889573574066, 0.38757631182670593, 0.11779391020536423, 0.39763733744621277, -0.22941218316555023, 0.5774428844451904, -0.4262692630290985, -0.38229531049728394, 0.2869641184806824, -0.5181057453155518]",0,1
An anxious bride sitting in a chair.,"[0.3977695405483246, -0.4910162687301636, -0.6966913342475891, -0.25630301237106323, 0.5120609402656555, 0.14964723587036133, -0.16261620819568634, 0.05650438368320465, -0.5386282205581665, -0.024157309904694557, 0.25743505358695984, 0.6067771911621094, 0.07079017162322998, 0.23323622345924377, -0.017131375148892403, -0.3970368802547455, 0.4399464428424835, 0.39644309878349304, 0.4182532727718353, -0.3274981677532196, 0.5370360612869263, -0.006654205732047558, -0.6686615347862244, 0.2071518898010254, 0.06803654134273529, -0.011252125725150108, 0.02854369394481182, 0.13364902138710022, 0.4629119634628296, -0.15916964411735535, 0.39802443981170654, -0.12394071370363235, 1.2278282642364502, 0.5322750210762024, 0.4832583963871002, -0.8443546295166016, -0.1912812888622284, 0.06988348811864853, -0.2720133066177368, 0.05796000733971596, 0.0453963540494442, 0.3291281759738922, -0.4135670065879822, 0.09754002839326859, 0.3599584698677063, -0.04695765674114227, -1.3313995599746704, -0.27905434370040894, -0.32319432497024536, -0.1849554181098938, -0.49130475521087646, 0.4552915394306183, 0.2520735561847687, 0.6405709981918335, -0.2983350157737732, -0.035832323133945465, -0.28847894072532654, -0.148629292845726, 0.677756667137146, -0.7029074430465698]","[0.5101912021636963, -0.30505192279815674, -0.18740619719028473, -0.46243852376937866, 0.3820352554321289, 0.46941301226615906, -0.09228961169719696, 0.4435931146144867, -0.2413632720708847, 0.5164496898651123, 0.6058591604232788, 0.17891934514045715, 0.2804887294769287, -0.19954119622707367, 0.03224227577447891, -0.21732549369335175, 0.3796316981315613, 0.14477340877056122, 0.16795901954174042, -0.2790810167789459, 0.7053164839744568, 0.34610313177108765, -0.3640918433666229, 0.30462104082107544, 0.23313821852207184, -0.32519543170928955, 0.1354539692401886, 0.27694225311279297, 0.36666008830070496, 0.31758636236190796, 0.33758243918418884, -0.2504892945289612, 0.6090010404586792, 0.013375679031014442, 0.005575226619839668, -0.3214391767978668, -0.14066606760025024, 0.43773433566093445, 0.13583382964134216, 0.19316533207893372, 0.07226303219795227, -0.330757737159729, -0.05016912519931793, -0.03820992261171341, 0.27902162075042725, -0.268614798784256, -0.919967532157898, -0.23850218951702118, 0.048449572175741196, -0.09231670945882797, -0.149872288107872, 0.3863425552845001, 0.6472857594490051, 0.1380946934223175, 0.12904173135757446, 0.08091849833726883, -0.12697848677635193, -0.3121602237224579, 0.3577692210674286, -0.11916808784008026]",0,1
The business man is sitting in a chair.,"[0.4085586667060852, -0.22371265292167664, -0.3115353286266327, -0.4656454920768738, 0.20862650871276855, 0.45378464460372925, -0.18587370216846466, 0.43386998772621155, -0.4198475778102875, 0.3192775547504425, 0.417609840631485, 0.33676856756210327, 0.13847297430038452, -0.018232455477118492, 0.1236337423324585, -0.0688861683011055, 0.4778819978237152, 0.12601585686206818, 0.3805833160877228, -0.27504676580429077, 0.5150805115699768, 0.2974359393119812, -0.269037663936615, 0.09357333183288574, 0.10674335807561874, -0.1373547911643982, 0.14238017797470093, 0.31562697887420654, 0.31501612067222595, 0.2655077874660492, 0.43196600675582886, -0.07540977746248245, 0.5671186447143555, 0.1556810885667801, 0.006546767428517342, -0.22215895354747772, -0.23952172696590424, 0.3454520106315613, 0.11219535768032074, 0.0024581290781497955, 0.16204184293746948, 0.029889000579714775, -0.02348453365266323, 0.07510361820459366, 0.21995510160923004, -0.06542938202619553, -0.8937743306159973, -0.15679585933685303, 0.006066497415304184, 0.1519049108028412, -0.07204817235469818, 0.37702667713165283, 0.5928700566291809, 0.30771732330322266, -0.1454000622034073, 0.3690356910228729, -0.24549008905887604, -0.22050748765468597, 0.37031400203704834, -0.24099379777908325]","[-0.08183635771274567, -0.5129597783088684, -0.2214139997959137, -0.43065738677978516, 0.3626185357570648, 0.3229154348373413, -0.8231579661369324, 0.25305941700935364, -0.21608348190784454, 0.1960849016904831, 0.10099177062511444, 0.3531501293182373, 0.21848881244659424, -0.6396088600158691, -0.07914990186691284, -0.023920169100165367, 0.5887281894683838, -0.01072024181485176, 0.30297234654426575, -0.5136950612068176, 0.3215651214122772, 0.24501246213912964, -0.3571779727935791, 0.7153160572052002, 0.0880630686879158, -0.4757367670536041, -0.2955199182033539, -0.0056629180908203125, 0.21657364070415497, 0.13921549916267395, 0.08107959479093552, -0.5829013586044312, 0.5805956721305847, -0.10795415192842484, -0.0071437787264585495, 0.22731485962867737, -0.05515740066766739, 0.2643710970878601, 0.11597631871700287, 0.38729700446128845, -0.2108203023672104, -0.18481989204883575, 0.02865234948694706, -0.11727847903966904, 0.3519604504108429, -0.10663215070962906, -0.833512544631958, 0.09906169772148132, -0.13093554973602295, -0.08859644085168839, 0.2040531039237976, 0.4549039900302887, 0.49411246180534363, 0.6351621747016907, -0.565942645072937, 0.5790235996246338, -0.42243319749832153, -0.18097548186779022, 0.23219968378543854, -0.09179443120956421]",0,1
A boy sits incorrectly in a chair.,"[0.131449356675148, -0.23808413743972778, -0.10420617461204529, -0.44025754928588867, 0.06712810695171356, 0.3780016303062439, -0.2395743876695633, 0.39285486936569214, -0.25752609968185425, 0.05726339668035507, 0.21379782259464264, 0.6147509813308716, 0.2547129690647125, -0.28605809807777405, 0.15712471306324005, 0.1210557296872139, 0.34877797961235046, 0.14597611129283905, 0.3966636657714844, -0.412120521068573, 0.21303240954875946, 0.17813074588775635, -0.14970038831233978, 0.1344519704580307, -0.40522319078445435, -0.5054323077201843, 0.26027923822402954, -0.003516584634780884, 0.14384549856185913, 0.36736294627189636, 0.38814374804496765, 0.08225267380475998, 0.42912790179252625, 0.14454421401023865, -0.3673056662082672, 0.09257946163415909, -0.18589942157268524, 0.4497537612915039, 0.24114441871643066, 0.27593812346458435, -0.3745713531970978, 0.1585240513086319, -0.09898283332586288, 0.06896520406007767, -0.12503093481063843, -0.3683117926120758, -0.3546901047229767, -0.2983089089393616, -0.38208499550819397, -0.023275116458535194, 0.07085214555263519, 0.6706987619400024, 0.37187835574150085, 0.4037303328514099, -0.5643375515937805, 0.5377404689788818, -0.2191155105829239, -0.11424918472766876, 0.2523011565208435, -0.454444944858551]","[0.3471998870372772, -0.183916836977005, -0.15002714097499847, -0.2657620906829834, 0.5809755921363831, 0.1360761821269989, -0.23007704317569733, 0.5885448455810547, -0.33309632539749146, 0.3745530843734741, 0.2935408651828766, 0.2327665388584137, -0.05822153016924858, -0.3929392695426941, 0.14978034794330597, 0.0399395152926445, 0.6786837577819824, 0.2592986226081848, 0.17797251045703888, -0.37121546268463135, 0.6131430268287659, 0.11606810986995697, -0.27998974919319153, 0.6530940532684326, 0.14728522300720215, -0.28735676407814026, -0.2359992414712906, -0.003849111497402191, 0.19300656020641327, 0.3925464153289795, 0.4675116240978241, -0.3243154287338257, 0.6974455118179321, 0.2988862693309784, 0.1902250498533249, -0.2222604751586914, -0.12513983249664307, 0.3018871545791626, 0.14903835952281952, 0.34265175461769104, 0.37479516863822937, -0.2716508209705353, 0.17574872076511383, -0.050367794930934906, 0.6125425696372986, -0.019514774903655052, -1.0282063484191895, -0.055248335003852844, -0.178092822432518, 0.06738705188035965, -0.27987807989120483, 0.44400307536125183, 0.8253746628761292, 0.3119068145751953, -0.2952237129211426, 0.15421035885810852, -0.22849811613559723, -0.16023756563663483, 0.2704373002052307, -0.45047566294670105]",0,1
A man runs in the street,"[-0.29892924427986145, -0.2415507435798645, -0.46609219908714294, -0.5739434957504272, -0.22591647505760193, 0.3465155363082886, 0.18631026148796082, 0.1666688472032547, -0.4090026021003723, 0.567862331867218, 0.271729975938797, 0.8315686583518982, 0.05264771357178688, -0.1526033729314804, -0.21174785494804382, 0.231270432472229, 0.42527732253074646, 0.38190531730651855, 0.013673443347215652, -0.4733947813510895, 0.12038151919841766, 0.21584558486938477, -0.2885235846042633, 0.2138185203075409, 0.2092294692993164, -0.4636724293231964, -0.1162252128124237, -0.026905789971351624, 0.27619868516921997, 0.5259254574775696, 0.6877577900886536, -0.31131622195243835, 0.14545658230781555, -0.05877666920423508, -0.16425170004367828, 0.23847168684005737, 0.2232852578163147, 0.5057766437530518, 0.05837811157107353, -0.01600242778658867, -0.38647469878196716, 0.17589128017425537, -0.1920192986726761, 0.09549600630998611, -0.3857622742652893, -0.41983258724212646, -0.7793458700180054, 0.11705489456653595, -0.296795517206192, 0.3393312394618988, -0.308614581823349, 0.28457513451576233, 0.0942065417766571, 0.2378629744052887, -0.43090420961380005, 0.8549886345863342, -0.7232214212417603, -0.02379460819065571, 0.14943930506706238, -0.26857542991638184]","[0.024812443181872368, -0.1813952624797821, -0.6992222666740417, -0.5736238956451416, 0.37550562620162964, 0.5492575764656067, 0.08219477534294128, 0.21150550246238708, -0.25018489360809326, 0.46121713519096375, 0.04816620424389839, 0.7100836038589478, 0.23812821507453918, -0.4094921350479126, -0.48830971121788025, 0.03325379639863968, 0.3001936972141266, 0.06132194772362709, 0.47240737080574036, -0.21258479356765747, 0.3933051824569702, 0.4994952082633972, -0.47091028094291687, 0.3651742935180664, 0.04206404834985733, -0.8051796555519104, -0.08601215481758118, -0.02733801305294037, 0.2539740204811096, 0.42677998542785645, 0.8189823627471924, -0.37647321820259094, 0.43930789828300476, -0.05473347753286362, -0.013729585334658623, -0.15777072310447693, -0.28554028272628784, 0.6475908756256104, 0.0472356341779232, 0.2631632089614868, -0.16816413402557373, 0.09662728756666183, -0.5295954942703247, 0.20586875081062317, 0.03621446341276169, -0.20251448452472687, -0.7368149161338806, -0.3861330449581146, -0.504133939743042, 0.4032823443412781, -0.5672414302825928, 0.22874881327152252, 0.3521830439567566, 0.4635510742664337, -0.00029036402702331543, 0.41724321246147156, -0.6076789498329163, 0.04263243079185486, 0.038714855909347534, -0.3752012550830841]",0,1
A young girl sits in front of a man on a bed.,"[0.08696435391902924, -0.23774929344654083, -0.1172381341457367, -0.22380974888801575, 0.3643225431442261, 0.2590046525001526, -0.9943267703056335, 0.23703496158123016, -0.2090613842010498, 0.4734285771846771, 0.38707435131073, 0.622027575969696, -0.030561085790395737, -0.15593822300434113, -0.03986034542322159, 0.18756085634231567, 0.44518083333969116, 0.22147975862026215, 0.3499889075756073, -0.10914075374603271, 0.4578801691532135, 0.3572307229042053, -0.7377622127532959, 0.3169836401939392, -0.21639230847358704, -0.3539160192012787, -0.6402795314788818, -0.20831502974033356, 0.11079879105091095, -0.216803640127182, 0.6219748258590698, -0.19851161539554596, 1.2361338138580322, -0.0779481753706932, 0.23816151916980743, -0.4669071137905121, -0.33459365367889404, 0.12213494628667831, -0.1426282823085785, 0.20853133499622345, -0.19367772340774536, 0.2898310720920563, -0.1722165048122406, -0.33476194739341736, 0.12429910898208618, -0.3075405955314636, -0.9761558771133423, 0.2340439409017563, -0.3864884078502655, -0.41418126225471497, -0.2664022445678711, 0.3710186183452606, 0.02919469214975834, 0.5669320225715637, -1.0397107601165771, 0.25960198044776917, -0.3908645510673523, -0.08821427822113037, 0.48950111865997314, -0.42608100175857544]","[0.13167382776737213, -0.3967702388763428, -0.27542832493782043, -0.6599379777908325, 0.06543011963367462, 0.2081211358308792, -0.04180024936795235, 0.21462590992450714, -0.0015785489231348038, 0.42918840050697327, -0.0032562576234340668, 0.27625638246536255, -0.018181931227445602, -0.1634632796049118, 0.09603545069694519, 0.04946664720773697, 0.3195613920688629, -0.12367278337478638, 0.051619965583086014, -0.3910769820213318, 0.13738027215003967, 0.10720410943031311, -0.06482329219579697, 0.04109223186969757, -0.2505926191806793, -0.44406938552856445, 0.15733468532562256, 0.1527828574180603, -0.16282309591770172, -0.20692254602909088, 0.30636632442474365, -0.3630202114582062, 0.3606472313404083, -0.07335533946752548, -0.018182186409831047, -0.058088064193725586, -0.09245751053094864, 0.32048454880714417, 0.2790176272392273, -0.08286450803279877, -0.009639922529459, 0.49854663014411926, -0.11357145756483078, 0.10850190371274948, -0.008288498967885971, -0.16373468935489655, -0.7243142127990723, -0.3092501759529114, -0.16726090013980865, -0.08996298164129257, -0.0911160260438919, -0.04117274284362793, 0.41264069080352783, 0.44006916880607605, -0.7173530459403992, 0.592128336429596, -0.5005103349685669, -0.06731358170509338, 0.28720957040786743, -0.3223836421966553]",0,1
The girls cross the road.,"[0.2651844620704651, -0.3780299425125122, -0.5878915190696716, -0.5502849817276001, 0.12077856808900833, 0.9347326755523682, 0.12312854826450348, -0.20796971023082733, -0.47901037335395813, 0.23492097854614258, 0.2526001036167145, 0.506588339805603, 0.02688375487923622, -0.4661942422389984, -0.32268550992012024, -0.1199280396103859, 0.25990578532218933, -0.040588993579149246, 0.05834232643246651, -0.17791391909122467, 0.08470204472541809, 0.3423657715320587, -0.46732470393180847, 0.41293078660964966, -0.21940159797668457, -0.5266416072845459, -0.017736898735165596, 0.0040572285652160645, 1.0095627307891846, 0.5896035432815552, 0.5661119222640991, -0.4344184398651123, 0.6260368227958679, 0.4979412853717804, 0.1535382717847824, -0.5547876358032227, 0.1730508953332901, 0.674776554107666, 0.2818653881549835, 0.12927982211112976, -0.5104337334632874, 0.01743980310857296, -0.872229278087616, -0.10460927337408066, -0.13800670206546783, -0.2786586582660675, -0.9032979011535645, -0.40092581510543823, 0.08504755795001984, 0.1173081174492836, -0.44692593812942505, 0.2541988492012024, 0.1205565333366394, 0.10140033811330795, -0.3979533314704895, 0.8021254539489746, -0.2985213100910187, -0.06280839443206787, 0.30138343572616577, -0.5092971324920654]","[0.5366493463516235, -0.09989313781261444, -0.21244485676288605, -0.08257497847080231, -0.02204163186252117, 0.3846287131309509, 0.19963517785072327, 0.25844448804855347, -0.5790905356407166, 0.47109848260879517, 0.12890289723873138, 0.6560578942298889, 0.2522789239883423, -0.30340561270713806, 0.054359227418899536, -0.20166653394699097, 0.036224059760570526, 0.4930233061313629, 0.1543983370065689, -0.18566083908081055, 0.3525361716747284, 0.14246153831481934, -0.5121439099311829, 0.247175395488739, -0.29998353123664856, -0.27426210045814514, -0.10971477627754211, -0.14859190583229065, 0.6268687844276428, 0.3799775242805481, 0.8544891476631165, -0.2654443383216858, -0.0371004156768322, 0.336485892534256, 0.09031598269939423, -0.39809349179267883, 0.2316034734249115, 0.16650104522705078, 0.04521618410944939, 0.3599174916744232, -0.037446629256010056, 0.10593075305223465, -0.3284534811973572, 0.0057467129081487656, -0.21475769579410553, -0.343246191740036, -0.9402733445167542, -0.20800569653511047, -0.28605514764785767, 0.23936191201210022, -0.37376680970191956, -0.010718042030930519, 0.05518268048763275, 0.060054711997509, -0.41143327951431274, 0.65883469581604, -0.4201417863368988, 0.5190541744232178, 0.05779094994068146, -0.3626512885093689]",0,1
