sentence_pos,sentence_neg,image,label_pos,label_neg
 Man runs towards dog,Dog runs towards man,"[-0.46205276250839233, 0.24713055789470673, 0.2474992573261261, 0.443404883146286, -0.7904588580131531, 0.16031599044799805, -0.8233726620674133, -1.0200021266937256, -0.14108090102672577, 0.05994943529367447, 0.12103372067213058, -0.3341909646987915, -0.1963016390800476, 0.3642050325870514, 0.4496278762817383, -0.8798169493675232, 0.08035401254892349, -0.2539556920528412, -0.584655225276947, -0.2518373131752014]",1,0
 Man shouts at woman,Woman shouts at man,"[0.225237175822258, -0.297741562128067, 0.34418752789497375, 0.39164379239082336, 0.22449515759944916, 0.13465899229049683, -0.966268002986908, -0.5389537811279297, 0.2066396176815033, -0.15147247910499573, -0.2832978069782257, -0.5583003759384155, 0.059819817543029785, 0.37989678978919983, 0.505560576915741, -0.4155319333076477, -0.1632712483406067, 0.015358412638306618, -0.13910099864006042, -0.30577826499938965]",1,0
Car follows bicycle , Bicycle follows car,"[0.194602832198143, 0.4751611053943634, -0.0808262825012207, 0.16311275959014893, 0.016509423032402992, -0.07817551493644714, -0.6511985063552856, -0.7244114875793457, -0.01997900940477848, -0.015329292044043541, 0.3018505573272705, -0.41695791482925415, -0.17526936531066895, 0.2671200633049011, 0.41865140199661255, -0.24216723442077637, 0.1159573420882225, -0.08652611821889877, -0.3925611674785614, 0.1778298318386078]",1,0
 Dad smiles at girl,Girl smiles at dad,"[-0.7432111501693726, -0.09213446080684662, 0.0058515481650829315, 0.14939096570014954, 0.4279189705848694, 0.09739725291728973, -0.4657568633556366, -0.7365822792053223, 0.1715068817138672, 0.39170169830322266, -0.24583281576633453, -0.3636566996574402, -0.07572203874588013, 0.3214050531387329, 0.2091393917798996, -0.518814206123352, -0.3862638473510742, 0.1790534257888794, -0.12351956963539124, -0.6242343187332153]",1,0
Reporter smiles at man, Man smiels at reporter,"[-0.3349373936653137, 0.11094259470701218, 0.7072248458862305, 0.36085256934165955, -0.0871976986527443, 0.2935435473918915, -0.9862098097801208, -0.7679575681686401, -0.20427760481834412, -0.01924165152013302, 0.09366331994533539, -0.48675283789634705, 0.17365393042564392, 0.4508589506149292, 0.10494258999824524, -0.2428150177001953, -0.4113864004611969, 0.19542178511619568, -0.06286822259426117, -0.395219087600708]",1,0
 Student helps teacher,Teacher helps student,"[-0.377016544342041, 0.2006286084651947, 0.5522807836532593, -0.009785406291484833, -0.19071871042251587, -0.1372370570898056, -0.6126276254653931, -0.37052837014198303, -0.16580307483673096, 0.23159463703632355, -0.3158876895904541, -0.8621922135353088, 0.10350191593170166, 0.6293648481369019, 0.11410941183567047, -0.495719850063324, -0.11464463919401169, 0.20173519849777222, 0.14308080077171326, -0.4430999457836151]",1,0
Doctor carries baby, Baby carries doctor,"[-0.21151939034461975, -0.1121920496225357, 0.1849842369556427, -0.09309609234333038, -0.32249292731285095, 0.19364778697490692, -0.9080511331558228, -0.47313055396080017, 0.24973143637180328, -0.051231227815151215, -0.13828977942466736, -0.6188030242919922, 0.02331676334142685, 0.36935025453567505, -0.3530728220939636, -0.5946933031082153, -0.18784746527671814, 0.06907131522893906, 0.3895024359226227, -0.5728215575218201]",1,0
Dog chases boy, Boy chases dog,"[-0.5394516587257385, -0.11149410903453827, 0.24875885248184204, 0.2991732358932495, -0.14214873313903809, -0.07800754904747009, -0.6459144353866577, -0.7037484049797058, -0.167132169008255, -0.03476984053850174, -0.39911529421806335, -1.037746787071228, -0.3719367980957031, 0.36956140398979187, -0.05282244086265564, -0.21011137962341309, -0.036762066185474396, 0.30286476016044617, -0.20996087789535522, -0.44073256850242615]",1,0
Young boy opens door for woman, Woman opens door for yound boy,"[-0.15752997994422913, 0.12445667386054993, 0.2455683946609497, -0.12351707369089127, -0.15471383929252625, -0.17523136734962463, -0.7522287964820862, -0.6958606839179993, 0.043178901076316833, 0.07968450337648392, -0.2505077123641968, -0.6444554924964905, 0.03174115717411041, 0.38809674978256226, -0.02127327211201191, 0.4305020570755005, -0.020641321316361427, -0.3334481418132782, -0.4097844660282135, -0.48881256580352783]",1,0
 Child pushes father on swings,Father pushes child on swings,"[-0.2827484905719757, 0.12296013534069061, 0.3820226788520813, -0.1617991030216217, -0.48092395067214966, -0.6089152097702026, -0.8001765012741089, -0.9554179310798645, 0.4170820415019989, -0.08202987164258957, 0.006916363723576069, -0.6351390480995178, 0.0880204290151596, 0.6988035440444946, 0.8921814560890198, -0.2563215494155884, -0.4941166937351227, 0.14598125219345093, -0.6838713884353638, -0.4778631925582886]",1,0
 Children opens door for Woman,Woman opens door for children,"[-0.5314650535583496, -0.14258240163326263, 0.41151830554008484, -0.1377074420452118, -0.6617235541343689, 0.389114648103714, -0.7790468335151672, -0.5298961400985718, -0.32781824469566345, 0.12786822021007538, -0.09523932635784149, -0.38847726583480835, -0.22086772322654724, 0.3095351457595825, -0.03589451313018799, -0.020883534103631973, -0.10242791473865509, 0.02138579823076725, -0.23545530438423157, -0.23473677039146423]",1,0
