sentence_pos,sentence_neg,image,label_pos,label_neg
Cat chases mouse, Mouse chases cat,"[0.2947201728820801, -0.3713441789150238, -0.23279547691345215, -0.5803103446960449, 0.40604591369628906, 0.5119950771331787, 0.15650147199630737, 0.4295046627521515, 0.06709359586238861, 0.07601446658372879, 0.20297102630138397, -0.32927313446998596, 0.21078148484230042, -0.7295270562171936, 0.49155253171920776, -0.29306626319885254, 0.046109262853860855, -0.2897530496120453, -0.45861366391181946, 0.11167583614587784, -0.6135730147361755, -0.35989949107170105, 0.3823952078819275, -0.08129321038722992, 0.29385408759117126, -0.5056574940681458, 0.6970013380050659, -0.1809932440519333, -0.1373009979724884, 0.16111041605472565, -0.11535827815532684, 0.5201748013496399, 0.17250612378120422, 0.09803702682256699, 0.0584259107708931, -0.0692984089255333, -0.3889527916908264, 0.24316740036010742, 0.39275750517845154, -0.1916312426328659]",0.0,1.0
Lion chases zebra, Zebra chases lion,"[0.17406605184078217, -0.5135964751243591, -0.38187360763549805, -0.2080201506614685, 0.32296228408813477, 0.2155989557504654, -0.38954219222068787, -0.0029748743399977684, -0.0758081004023552, 0.41663306951522827, -0.24485643208026886, 0.37151870131492615, 0.038706935942173004, 0.20883697271347046, 0.887213408946991, -0.05835066735744476, -0.08597924560308456, -0.2017253190279007, -0.002103075385093689, -0.2521219253540039, 0.12271246314048767, -0.06760631501674652, -0.11878395080566406, 0.03869553282856941, 0.11831426620483398, -0.2778902053833008, 0.35049718618392944, -0.6051729321479797, -0.16832800209522247, 0.4992349445819855, -0.08600430190563202, 0.3189517557621002, 0.10982563346624374, -0.1832970231771469, 0.45208606123924255, 0.3924098610877991, -0.5952718257904053, -0.10186759382486343, 0.24988234043121338, -0.541489839553833]",0.0,1.0
Cheetah chases gazelle, Gazelle chases cheetah,"[0.2309965342283249, -0.2394288331270218, 0.1376495361328125, 0.1905401349067688, 0.16690246760845184, 0.3957325518131256, -0.580821692943573, -0.0030679162591695786, 0.020615965127944946, 0.2993025481700897, -0.4099765419960022, 0.353391170501709, 0.022648444399237633, -0.24807432293891907, 0.7205782532691956, 0.18258509039878845, -0.2460181564092636, -0.3176668584346771, -0.09131644666194916, -0.3030931055545807, 0.16335642337799072, -0.0531756617128849, -0.3072769343852997, -0.14010533690452576, 0.08757675439119339, -0.057820916175842285, 0.109786257147789, -0.5558434724807739, -0.18606887757778168, 0.11016590893268585, 0.030375536531209946, 0.4560418725013733, -0.10704518109560013, 0.16557998955249786, 0.1844329684972763, 0.09780559688806534, -0.6198110580444336, -0.11285514384508133, 0.13282249867916107, -0.3985631465911865]",0.0,1.0
Dog chases cat, Cat chases dog,"[-0.022330237552523613, 0.136617049574852, -0.34023603796958923, -0.10308805108070374, 0.28245118260383606, 0.5754830837249756, 0.005240568891167641, 0.3096136152744293, -0.46010512113571167, 0.3746511936187744, 0.0611470527946949, 0.03526703268289566, -0.12424934655427933, -0.8314134478569031, 0.6466233134269714, -0.5376651883125305, -0.32977837324142456, -0.4358632564544678, -0.4208560287952423, -0.1310056895017624, -0.38728928565979004, 0.03876934573054314, 0.2180013507604599, -0.25539058446884155, 0.06852235645055771, 0.15961779654026031, 0.47999444603919983, -0.5455514788627625, -0.08802869915962219, 0.07961778342723846, -0.051051367074251175, 0.13903217017650604, -0.3972030282020569, 0.057798996567726135, -0.04962759464979172, 0.01477583684027195, -0.40947604179382324, 0.03006094880402088, 0.33831551671028137, -0.270158976316452]",0.0,1.0
Horse chases sheep, Sheep chases horse,"[0.022111760452389717, -0.5186654925346375, 0.10022760182619095, -0.216981440782547, -0.1476879119873047, 0.47070443630218506, -0.22913382947444916, -0.11706800758838654, -0.09503903985023499, 0.4183192849159241, -0.4567059874534607, 0.22978268563747406, 0.0052712541073560715, -0.5402879118919373, 0.375488817691803, -0.05174492299556732, -0.05385121330618858, -0.3445672392845154, -0.388692170381546, -0.3349193334579468, 0.18669137358665466, -0.07183584570884705, 0.10080055892467499, 0.07620903849601746, 0.027170883491635323, -0.3006000518798828, 0.13618960976600647, -0.1671903133392334, -0.2736123204231262, 0.17883595824241638, -0.31674104928970337, 0.3104325830936432, 0.39322224259376526, 0.11077012866735458, 0.3079107105731964, 0.0032484177500009537, -0.4777171313762665, 0.062191441655159, -0.02257857657968998, -0.35450467467308044]",0.0,1.0
Fox chases rabbit, Rabbit chases fox,"[0.08183418214321136, -0.22457626461982727, -0.007573330774903297, -0.2654987871646881, 0.09260411560535431, 0.5412243604660034, -0.08952541649341583, 0.1790788173675537, -0.04368354380130768, 0.37578749656677246, -0.1454881876707077, 0.1548652946949005, 0.029491936787962914, -0.3416948616504669, 0.4537324905395508, -0.3477027416229248, -0.22608497738838196, -0.45780664682388306, -0.19279147684574127, 0.07515288144350052, -0.4476887583732605, -0.16137149930000305, 0.4519718885421753, 0.08610893785953522, 0.16276752948760986, -0.08897414058446884, -0.040793418884277344, -0.23452554643154144, -0.16064061224460602, -0.07621690630912781, -0.0883045494556427, 0.3087630569934845, 0.17165255546569824, 0.061271823942661285, 0.21239952743053436, -0.2579079270362854, -0.20666450262069702, -0.241790771484375, 0.5599287748336792, -0.2862529754638672]",0.0,1.0
Polar bear chases seal, Seal chases polar bear,"[0.49264875054359436, -0.3178024888038635, 0.035090625286102295, -0.39989912509918213, 0.14407560229301453, 1.1305543184280396, -0.05358874052762985, -0.08674222230911255, 0.21956953406333923, -0.03640385717153549, -0.2828297019004822, 0.47168952226638794, -0.03070123679935932, -0.6426995992660522, 0.14798970520496368, -0.06582356244325638, -0.5567600727081299, 0.21325302124023438, -0.0426437146961689, 0.5349822044372559, -0.13355645537376404, -0.3589878976345062, 0.21329230070114136, 0.1932833045721054, -0.317416787147522, -0.49328818917274475, 0.35490894317626953, -0.21667645871639252, -0.4728547930717468, 0.16364768147468567, -0.02264401689171791, -0.3268723785877228, -0.3038010001182556, -0.2763706147670746, -0.30756595730781555, 0.12768343091011047, -0.30325502157211304, 0.02905716560781002, -0.19008471071720123, -0.5865935683250427]",0.0,1.0
Bear chases girl, Girl chases bear,"[0.01998826302587986, -0.15288139879703522, 0.06959741562604904, -0.06214325875043869, 0.43671751022338867, 0.4312198758125305, -0.1311980038881302, 0.07680670917034149, 0.5051982998847961, 0.59527987241745, 0.05304199084639549, 0.27871188521385193, -0.13402274250984192, -0.43744227290153503, 0.7058066725730896, -0.26641136407852173, 2.7517788112163544e-05, 0.28361183404922485, -0.1873466670513153, -0.06865230947732925, -0.01740824431180954, -0.518140971660614, 0.19767776131629944, 0.2762554883956909, 0.022799363359808922, -0.3392845392227173, 0.3315727710723877, -0.03832709789276123, -0.3167015016078949, 0.11884307861328125, -0.2508087158203125, 0.24547477066516876, -0.2496837079524994, -0.12003666907548904, -0.17930428683757782, 0.32968443632125854, -0.06974083185195923, 0.3834635317325592, -0.07347751408815384, -0.4813084006309509]",0.0,1.0
Police chases man, Man chases police,"[-0.037235960364341736, -0.6149744391441345, 0.1427168995141983, -0.08677977323532104, 0.6297280788421631, 0.5139596462249756, 0.35830917954444885, 0.0009196316823363304, -0.06270448863506317, 0.4068911075592041, -0.2548294961452484, 0.1078973338007927, 0.018709978088736534, -0.4654543697834015, 0.022879987955093384, -0.22560806572437286, -0.47687506675720215, -0.17324377596378326, -0.5336363911628723, -0.2693137228488922, 0.04289368540048599, -0.3688439726829529, 0.6346728205680847, 0.04994124546647072, -0.13520732522010803, -0.40830472111701965, 0.6085865497589111, -0.08137817680835724, -0.3328874707221985, -0.3696092367172241, 0.08841745555400848, 0.1998894065618515, -0.2871081233024597, -0.1416194885969162, 0.032654739916324615, -0.21188290417194366, -0.745464563369751, 0.046865396201610565, 0.14148859679698944, -0.615623414516449]",0.0,1.0
Dog chases boy, Boy chases dog,"[-0.1533675640821457, -0.039792656898498535, -0.3167557418346405, -0.2733367383480072, 0.31707650423049927, 0.8745783567428589, 0.2809564173221588, 0.6253983974456787, -0.026933595538139343, 0.3254249095916748, -0.045125942677259445, -0.05779874324798584, -0.08428319543600082, -0.7747377753257751, 0.2065601497888565, -0.43779507279396057, -0.6008310317993164, -0.30152061581611633, -0.3059884011745453, 0.25592121481895447, -0.5050500631332397, -0.31326964497566223, 0.43802785873413086, -0.10652194917201996, 0.12688174843788147, -0.2247554361820221, 0.2959299385547638, -0.2547873556613922, -0.2643069922924042, -0.2323601096868515, 0.1946001648902893, 0.410728394985199, -0.18338926136493683, 0.12079744040966034, -0.022808803245425224, -0.3970459997653961, -0.4987044036388397, 0.30271998047828674, 0.374033659696579, -0.3628253936767578]",0.0,1.0
