sentence,image_1,image_2,label_image1,label_image2
A girl sits on a ball.,"[0.5117200613021851, 0.03396458923816681, -0.01756996288895607, 0.08668849617242813, 0.020663052797317505, -0.04044168442487717, -0.03052886389195919, 0.21118560433387756, 0.1412438154220581, -0.47595274448394775, -0.10566073656082153, 0.15557606518268585, 0.12752792239189148, 0.13421043753623962, -0.37276190519332886, 0.009644823148846626]","[0.17112921178340912, 0.06747379153966904, -0.7522674202919006, 0.563692569732666, -0.188005268573761, 0.1593400090932846, 0.7467719912528992, -0.06025465577840805, 0.0024038683623075485, -0.6908573508262634, -0.08787231147289276, -0.05589113011956215, -0.30675965547561646, 0.2499788999557495, -0.11749871075153351, 0.1544627994298935]",0,1
Girl sits on a ball.,"[0.390455424785614, -0.07926137745380402, -0.2971380650997162, 0.349814236164093, -0.2812769412994385, 0.005862346850335598, -0.009059002622961998, 0.08755846321582794, -0.1887800097465515, -0.1867009550333023, -0.4044498801231384, -0.0026497729122638702, 0.06573192030191422, 0.01365017332136631, -0.24111635982990265, 0.32670342922210693]","[0.6607056260108948, -0.08664409071207047, -0.1412132829427719, 0.6003882884979248, -0.3084307909011841, 0.12966591119766235, 0.4784489870071411, -0.40934446454048157, -0.13086457550525665, -0.5603460669517517, -0.28264379501342773, -0.01614047959446907, -0.1339595466852188, 0.22818659245967865, -0.30654484033584595, -0.1303858757019043]",0,1
A woman plays ball in the pool.,"[0.8545843958854675, -0.1618272215127945, -0.1483163982629776, -0.07312167435884476, -0.12493652105331421, 0.0638609454035759, 0.5438269972801208, 0.09145183116197586, -0.32019007205963135, -0.6890664100646973, -0.2953023910522461, 0.1399550586938858, -0.09457032382488251, -0.09679578244686127, -0.677524983882904, 0.1382123976945877]","[0.5259569883346558, -0.15472592413425446, 0.05794604495167732, -0.025824347510933876, -0.32127243280410767, -0.332091361284256, 0.17825129628181458, -0.06682939827442169, 0.18924015760421753, -0.5071836113929749, 0.0859777182340622, 0.05777183547616005, -0.070772185921669, 0.25771647691726685, -0.5415931344032288, -0.11099857091903687]",0,1
ball player walks,"[0.8327195048332214, 0.1994023621082306, -0.35956475138664246, 0.13002122938632965, -0.37886714935302734, 0.2503557503223419, -0.13878056406974792, 0.020295443013310432, -0.1912536919116974, -0.31448492407798767, -0.14403583109378815, 0.2692447006702423, -0.11491493880748749, 0.15920941531658173, -0.3208405077457428, 0.08150947093963623]","[0.8116807341575623, -0.09501670300960541, 0.1114770770072937, -0.06186411529779434, -0.23250740766525269, 0.1849638819694519, 0.45520728826522827, 0.1060505360364914, -0.5216798782348633, -0.3915055990219116, 0.16887059807777405, 0.2273404449224472, -0.040122613310813904, 0.10560610890388489, -0.5385079979896545, 0.08276313543319702]",0,1
The dog sits on the street.,"[0.2422473430633545, -0.3693452477455139, -0.3746904730796814, -0.15493538975715637, -0.7079674005508423, -0.28675904870033264, 0.41363298892974854, 0.06185583770275116, -0.10924197733402252, -0.10096621513366699, 0.2215217649936676, -0.023588765412569046, 0.013134637847542763, 0.29107657074928284, -0.7708550095558167, -0.04803307354450226]","[0.42583540081977844, -0.16917841136455536, 0.04683952406048775, -0.15997248888015747, -0.5094045996665955, -0.3687593638896942, 0.08027008920907974, -0.357462614774704, 0.042508892714977264, -0.3042779564857483, 0.13268432021141052, -0.10692882537841797, 0.086788609623909, -0.09223876148462296, -0.4506734311580658, 0.014771910384297371]",0,1
Three small persons sit in the meadow.,"[0.5380976796150208, -0.179933562874794, 0.06506937742233276, -0.041435614228248596, -0.6833662390708923, -0.6567782759666443, 0.144390270113945, 0.12255757302045822, -0.020578334107995033, -0.10521873086690903, -0.0077967047691345215, 0.39695626497268677, -0.42849043011665344, 0.4828883111476898, -0.7854053378105164, 0.6653246283531189]","[0.8030133247375488, -0.0823192223906517, -0.2396528124809265, 0.13861988484859467, -0.4605455994606018, -0.30636975169181824, 0.17465145885944366, 0.01814533956348896, -0.17986418306827545, -0.31855645775794983, -0.4024914503097534, -0.2223341315984726, -0.00044731609523296356, 0.2627905309200287, -0.4633672833442688, 0.06775039434432983]",0,1
A woman takes a rest on a couch.,"[0.1483798325061798, -0.17477700114250183, -0.6144519448280334, 0.21877945959568024, 0.15599672496318817, 0.241110160946846, 0.3876608610153198, -0.15749667584896088, -0.1646021008491516, -0.4179461598396301, -0.34285908937454224, -0.19766242802143097, -0.14632843434810638, 0.23467057943344116, -0.3019270598888397, 0.06581376492977142]","[0.6300015449523926, -0.23022857308387756, -0.5683651566505432, 0.5170493125915527, -0.4468768239021301, 0.11009181290864944, 0.5738347172737122, 0.020120443776249886, -0.3310341536998749, -0.598728358745575, -0.4324207305908203, -0.06478337943553925, -0.29295897483825684, 0.4129755198955536, -0.168521448969841, 0.15152405202388763]",0,1
A woman walks in the park.,"[0.417561799287796, -0.11365010589361191, -0.18465405702590942, 0.1767340898513794, -0.35023146867752075, -0.38005194067955017, 0.1948024332523346, -0.22381417453289032, -0.16786624491214752, -0.43437013030052185, 0.25361186265945435, -0.15435421466827393, -0.14841124415397644, 0.047835931181907654, -0.6069056391716003, -0.21385075151920319]","[0.2368387132883072, -0.3537656366825104, -0.1694617122411728, 0.1410326510667801, -0.15897710621356964, 0.01147495862096548, 0.05225401371717453, -0.05423603951931, 0.025589508935809135, -0.593478262424469, -0.3221481442451477, -0.302762508392334, -0.1344272643327713, 0.5068703293800354, -0.545793354511261, 0.34750404953956604]",0,1
The dog stands on the grass.,"[0.2897607088088989, -0.09885550290346146, -0.24751724302768707, 0.14164015650749207, 0.1728714108467102, -0.39845898747444153, 0.13728973269462585, -0.03524229675531387, 0.25213202834129333, -0.4329948425292969, -0.047516897320747375, -0.11445298790931702, 0.16397036612033844, 0.07707668840885162, -0.4132445454597473, -0.08371630311012268]","[0.649681568145752, -0.1102786585688591, -0.1771012246608734, -0.038651786744594574, -0.2571942210197449, -0.22925442457199097, 0.14309357106685638, -0.40611714124679565, 0.010670019313693047, -0.2957979142665863, -0.19548870623111725, -0.03476346656680107, -0.22613239288330078, 0.2857833504676819, -0.3935548663139343, -0.3610173761844635]",0,1
A woman sits in a field.,"[0.9376417398452759, -0.2780058979988098, -0.12423048913478851, -0.04360469430685043, -0.5079614520072937, -0.40675559639930725, 0.37232720851898193, -0.12581999599933624, 0.05494147539138794, -0.32643434405326843, -0.26130211353302, -0.07466472685337067, -0.1095619797706604, 0.47510865330696106, -0.7720232009887695, 0.14915680885314941]","[0.9004510641098022, 0.04480041563510895, -0.2295297235250473, -0.043414562940597534, -0.012939244508743286, -0.28778180480003357, 0.022843891754746437, -0.08657397329807281, 0.17473605275154114, -0.09466076642274857, -0.26411211490631104, 0.10104811191558838, -0.10520606487989426, 0.2717251479625702, -0.11391853541135788, -0.3594166338443756]",0,1
